run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,cagr_pct,benchmark_cagr_pct,annualized_excess_pct,calmar,positive_annualized_excess,calmar_ge_0_3,step04_numeric_gate,image_file,source_note
m1_absolute,14,5,complete,8.63,47.47,-0.04,0.43,-0.14,39.95,1.389184499838203,6.688419150117952,-5.299234650279749,0.03477307884451071,False,False,False,codex-clipboard-35fbab6d-65ea-412d-9dd4-189ea244e2fa.png,早期截图OCR；参数由代码区或红色标注复核
m1_absolute,14,1,complete,-0.74,47.47,-0.05,0.37,-0.23,43.61,-0.12371533987727279,6.688419150117952,-6.812134489995225,-0.002836857140042944,False,False,False,codex-clipboard-0e0c90d8-c91b-4c2c-804e-4a0512d5b97d.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,252,20,complete,65.16,47.47,0.04,0.36,0.29,28.43,8.722011554255227,6.688419150117952,2.0335924041372744,0.3067890099984251,True,True,False,codex-clipboard-96ef0e2e-9c2c-4aa2-84b2-fbc17b3075a7.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,252,10,complete,50.74,47.47,0.02,0.36,0.19,27.85,7.079109748484513,6.688419150117952,0.39069059836656095,0.25418706457754087,True,False,False,codex-clipboard-9b3fcc59-04dd-4b07-b40d-3534e5627806.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,252,5,complete,38.02,47.47,0.01,0.36,0.1,25.65,5.517300158993299,6.688419150117952,-1.1711189911246533,0.21509942140324753,False,False,False,codex-clipboard-8feb44e9-5c7e-41e5-9d08-5fcf68a694f5.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,252,1,complete,33.6,47.47,0.0,0.31,0.07,24.55,4.946447737761495,6.688419150117952,-1.7419714123564578,0.20148463290270854,False,False,False,codex-clipboard-9ac1a581-f3d5-4e67-9488-aa80c6aeacde.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,126,20,complete,46.85,47.47,0.02,0.28,0.18,21.33,6.613530480780749,6.688419150117952,-0.07488866933720306,0.31005768780031645,False,True,False,codex-clipboard-c87a39b8-9201-4c26-bd36-9ccf157c4a06.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,126,10,complete,37.06,47.47,0.01,0.3,0.1,25.28,5.394622970912288,6.688419150117952,-1.293796179205664,0.2133948960012772,False,False,False,codex-clipboard-fa085a3f-ae3a-4885-8db0-298fb0fdd583.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,126,5,complete,52.5,47.47,0.03,0.25,0.23,17.93,7.286474402954135,6.688419150117952,0.5980552528361827,0.4063845177330806,True,True,True,codex-clipboard-15ba703d-89b1-4d64-a9c8-6e25c4184a0b.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,126,1,complete,12.6,47.47,-0.03,0.27,-0.13,30.38,1.9975480504584864,6.688419150117952,-4.690871099659466,0.06575207539363023,False,False,False,codex-clipboard-d649e429-be2f-4713-9e38-7903c0107944.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,63,20,complete,-18.83,47.47,-0.08,0.3,-0.5,53.79,-3.4173187725469623,6.688419150117952,-10.105737922664915,-0.06353074498135271,False,False,False,Snipaste_2026-07-16_00-37-10.png,补图替换原运行中截图
m2_recent_confirm,63,10,complete,-1.97,47.47,-0.05,0.21,-0.32,36.17,-0.3310613081196512,6.688419150117952,-7.019480458237604,-0.009152925300515653,False,False,False,codex-clipboard-3e4e7cea-60e8-46f2-8329-9e3dadf5861f.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,63,5,complete,39.85,47.47,0.01,0.25,0.13,18.12,5.749197043828969,6.688419150117952,-0.9392221062889838,0.31728460506782385,False,True,False,codex-clipboard-10366f4f-cc36-469f-8c9e-06b7c6b73e55.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,63,1,complete,66.24,47.47,0.04,0.23,0.35,16.59,8.840180924902352,6.688419150117952,2.1517617747844,0.5328620207897741,True,True,True,codex-clipboard-aad060c7-7b81-43e5-893b-d98b8d5d3009.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,31,20,complete,61.29,47.47,0.04,0.22,0.34,16.02,8.29321328319994,6.688419150117952,1.6047941330819882,0.5176787317852647,True,True,True,codex-clipboard-3ff2ec1e-1d82-44ad-a7ac-471b96f2ceea.png,早期截图OCR；参数由代码区或红色标注复核
m2_recent_confirm,31,10,complete,74.02,47.47,0.05,0.17,0.49,16.35,9.6730346921446,6.688419150117952,2.9846155420266474,0.59162291695074,True,True,True,codex-clipboard-6b76ff3d-fec3-4480-9fb8-d55473fcd3e2.png,早期截图OCR；参数由代码区或红色标注复核
