"run_mode","lookback","rebalance_interval","status","strategy_return_pct","benchmark_return_pct","alpha","beta","sharpe","max_drawdown_pct","image_file","config_ocr","metric_ocr"
"m2_ranked_recent","63","5","complete","27.72","47.47","0","0.25","0.02","22.87","codex-clipboard-384af1f2-bc9c-4df5-9b41-f4314c855e25.png","from jqdata import import datetime i mport matp ""m2-ranked-recent"" R 皿 艹 L(X)KBACK 一 63 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 63 )KBACK 63 | interval_line=5 ;A F TNTERVAL 5","27.72% | 47.47% | Alpha -0.00 | Beta 0.25 | Sharpe 0.02 | 22.87%"
"m3_ols_slope","14","1","complete","61.07","47.47","0.04","0.28","0.28","27.68","codex-clipboard-3ad9da43-b3c8-4458-b461-ef88583a705b.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=II ;A F TNTERVAL","2015-01-01 2020-12 61.07% | -31 100000 47.47% | Python3 Alpha 0.04 | Beta 0.28 | Sharpe 0.28 | 27.68%"
"m1_absolute","126","10","complete","26.85","47.47","-0.01","0.56","0.01","43.74","codex-clipboard-3c0b8088-5233-4be7-a8e1-765e9330c400.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)[E ""ml-absol ute"" L(X)KBACK = 126 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12 26.85% | -31 100000 47.47% | Python3 Alpha -0.01 | Beta 0.56 | Sharpe 0.01 | 43.74%"
"m2_recent_confirm","63","10","complete","-1.97","47.47","-0.05","0.21","-0.32","36.17","codex-clipboard-3e4e7cea-60e8-46f2-8329-9e3dadf5861f.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 一 ""m2-recent-confi rm"" L(X)KBACK 一 63 REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 63 )KBACK 63 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. -1.97% | 100000 47.47% | Python3 Alpha -0.05 | Beta 0.21 | Sharpe -0.32 | 36.17% 4"
"m2_recent_confirm","31","20","complete","61.29","47.47","0.04","0.22","0.34","16.02","codex-clipboard-3ff2ec1e-1d82-44ad-a7ac-471b96f2ceea.png","from j qdata mport i mport datetime i mport math L(X)KBACK 'm2-r ecent-confi r m"" 31 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 31 )KBACK 31 | interval_line=20 ;A F TNTERVAL = 20","61.29% | 47.47% | Alpha 0.04 | Beta 0.22 | Sharpe 0.34 | 16.02%"
"m3_ols_slope","31","1","complete","72.73","47.47","0.05","0.37","0.33","21.95","codex-clipboard-40e0fde9-5677-47d5-832f-f70e5f6edfd7.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" 31 L(X)KBACK REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12. 72.73% | 100000 47.47% | Python3 Alpha 0.05 | Beta 0.37 | Sharpe 0.33 | 21.95%"
"m2_recent_confirm","63","20","incomplete","","47.47","","","","","codex-clipboard-41c5b4be-5376-4cca-9734-575419850b4a.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 一 ""m2-recent-confi rm"" L(X)KBACK REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=PKBACK 63 -A VAX 63 | interval_line=20 ;A F TNTERVAL = 20"," | 00931B 47.47% | Alpha | Beta | Sharpe | "
"m3_ols_slope","126","5","complete","58.57","47.47","0.03","0.48","0.21","3468","codex-clipboard-42a301fa-a6f4-454b-adea-e30a0dabf77b.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK = 126 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 58.57% | 31 100000 47.47% | Python3 Alpha 0.03 | Beta 0.48 | Sharpe 0.21 | 34680/0 609k"
"m2_recent_confirm","14","20","complete","-0.02","47.47","-0.05","13.71","-0.23","39.06","codex-clipboard-4473f53a-c876-4133-8127-6a8683563bc3.png","trom 〕 qaata 1 mport import datetime import math R 皿 艹 L(X)KBACK •m2-recent-confi rm"" REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=20 ;A F TNTERVAL = 20","-0.02% | 47.47% | Alpha -0.05 | Beta 0.40 s. 201S • -16.82% • 13.71% | Sharpe -0.23 | 39.06%"
"momentum","252","20","complete","27.05","47.47","-0.02","0.67","0.01","43.7","codex-clipboard-46333042-d0da-4200-a0e9-99b1f9aa7ccc.png","15-06-01 15-12-01 2016 16-12-01 17-06-01 17-12-01 IS-06-01 2018 18-12-01 2019 19-06-01 20-06-01 20-12-01 252 20 2020","2015-01-01 2020-12 27.05% | 100000 47.47% . 79 20. 24.69% 17.74% | Python3 Alpha -0.02 | Beta 0.67 | Sharpe 0.01 | 43.70% so•i"
"m3_ols_slope","14","20","complete","36.11","47.47","0","0.38","0.08","37.02","codex-clipboard-49be7fa1-52f7-4469-a119-a0dd49c45e4a.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" L(X)KBACK REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 36.11% | -31 100000 47.47% | Python3 Alpha 0.00 | Beta 0.38 | Sharpe 0.08 | 37.02%"
"momentum","126","20","complete","17.6","47.47","-0.03","0.52","-0.06","43.7","codex-clipboard-4b7994b8-d937-4e65-8904-c9e3a5439950.png","15-06-01 15-12-01 2016 16-06-01 16-12-01 17-06-01 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 20-06-01 20-12-01 126 20 2020","2015-01-01 2020-12. 17.60% | 100000 47.470/0 | Python3 Alpha -0.03 | Beta 0.52 | Sharpe -0.06 | 43.70%"
"m1_absolute","63","10","complete","56.63","47.47","0.03","0.48","0.2","34.7","codex-clipboard-4c30d83b-add8-4671-b412-972ae46dac17.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK 一 63 REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 63 )KBACK 63 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12 56.63% | -31 100000 47.47% | Python3 Alpha 0.03 | Beta 0.48 | Sharpe 0.20 | 34.70%"
"m3_ols_slope","63","10","complete","7.43","47.47","-0.04","0.44","-0.15","36","codex-clipboard-4c93b689-7390-434f-934e-6598bd7cea80.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" L(X)KBACK 一 63 REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" | lookback_line=)KBACK 63 )KBACK 63 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 7.43% | 100000 47.470/0 | Python3 Alpha -0.04 | Beta 0.44 | Sharpe -0.15 | 36.00% so•i"
"m3_ols_slope","31","20","complete","70.18","47.47","0.04","0.37","0.32","21.15","codex-clipboard-4d200f71-50d7-4029-ab2f-2d4b9fa1e816.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" 31 L(X)KBACK REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 31 )KBACK 31 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 70.18% | -31 100000 47.47% | Python3 Alpha 0.04 | Beta 0.37 | Sharpe 0.32 | 21.15%"
"momentum","252","1","complete","24.91","47.47","-0.02","0.65","-0.01","43.7","codex-clipboard-50666caa-800e-4563-a9a6-f5928d72820d.png","15-06-01 15-12-01 2016 16-06-01 • -2.36% • -6.57% 16-12-01 17-06-01 2017 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 20-06-01 -29 20-12-01 2020 252 1","2015-01-01 2020-12-: 24.91% | 100000 47.47% | Python3 Alpha -0.02 | Beta 0.65 | Sharpe -0.01 | 43.70% ss s 4"
"m3_ols_slope","252","5","complete","87.56","47.47","0.06","0.52","0.34","43.71","codex-clipboard-5227454f-2d60-45c5-a857-3042faa1189e.png","from j qdata mport i mport datetime i mport math RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK = 252 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=5 ;A F TNTERVAL 5","87.56% | 47.47% 7. 201S H: 9.13% fi•. 11.16% | Alpha 0.06 | Beta 0.52 | Sharpe 0.34 | 43.71% 120%"
"m1_absolute","31","20","complete","-64.77","47.47","0.04","0.41","0.28","21.9","codex-clipboard-5322105c-b4c4-44e8-b7dd-5bd4fa9832c0.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-t•K)[E ""ml-absol ute"" 31 L(X)KBACK REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=KBACK 31 KBACK 31 | interval_line=A1-ANCE-INTERVAL 20 ALANCE-INTERVAL = 20","2015-01-01 2020-12- 64.77% | 31 100000 47.47% | Python3 Alpha 0.04 39 9. 2017 | Beta 0.41 | Sharpe 0.28 | 21.90%"
"momentum","126","1","complete","-21.84","47.47","-0.1","0.53","-0.4","53.47","codex-clipboard-53343ddc-7aba-4cdc-acf2-050b2e85db31.png","IS-06-01 IS-12-01 2016 16-12-01 17-06-01 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01 126 1","2015-01-01 2020-12-3 -21.84% | 100000 47.47% IS. 2016 | Python3 Alpha -0.10 | Beta 0.53 | Sharpe -0.40 | 53.47%"
"m3_ols_slope","126","1","complete","81.86","47.47","0.05","0.47","0.35","34.67","codex-clipboard-588e7964-9136-46e1-a98d-3e7876d701ec.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-t•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK = 126 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-%s-1 b 一 s "" ％ CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12 81.86% | -31 100000 47.47% | Python3 Alpha 0.05 | Beta 0.47 | Sharpe 0.35 | 34.67%"
"m3_ols_slope","63","20","complete","32.22","47.47","0","0.48","0.05","39.45","codex-clipboard-5afe1795-9acf-42a8-95ad-b2b651cb92dd.png","# M 3G uses RUN 」 ． ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK 一 63 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 32.22% | 31 100000 47.47% | Python3 Alpha -0.00 | Beta 0.48 | Sharpe 0.05 | 39.45%"
"momentum","252","10","complete","26.06","47.47","-0.02","0.67","0","43.74","codex-clipboard-5ba8df97-dc92-4007-8dc5-4e29c6a1d791.png","15-06-01 15-12-01 2016 16-12-01 252 10 17-06-01 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 20-06-01 20-12-01 2020","2015-01-01 2020-12-3 26.06% 39 10. 201S • 2.60% | 1 100000 47.47% | Python3 Alpha -0.02 | Beta 0.67 | Sharpe 0.00 | 43.74%"
"m1_absolute","31","1","complete","-15.24","47.47","-0.03","0.41","-0.09","28.8","codex-clipboard-5c0f621d-2c08-4f55-afe2-c5d8db71aba8.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" 31 L(X)KBACK REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=KBACK 31 KBACK 31 | interval_line=ALANCE-INTERVAL 1 ALANCE-INTERVAL","2015-01-01 2020-12- 15.24% | 100000 47.47% | Python3 Alpha -0.03 | Beta 0.41 | Sbarpe -0.09 | 28.80%"
"m2_recent_confirm","14","10","complete","77.57","47.47","0.06","0.21","0.48","18.45","codex-clipboard-5d2e8140-2f34-42da-b056-20f21230367c.png","from j qdata mport i mport datetimg i mport math RtJN---r•K)IE 一 ""m2-r ecent-confi r m"" L(X)KBACK REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=10 ;A F TNTERVAL = 10","77.57% | 47.47% | Alpha 0.06 | Beta 0.21 | Sharpe 0.48 | 18.45% so•i"
"m3_ols_slope","252","20","complete","75.95","47.47","0.05","0.5","0.29","43.7","codex-clipboard-5dffa4ee-75a3-4552-89b0-dc804ef4201a.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" L(X)KBACK = 252 REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 75.95% | -31 100000 47.47% | Python3 Alpha 0.05 | Beta 0.50 | Sharpe 0.29 | iÉfi@N 43.70% 100*"
