"run_mode","lookback","rebalance_interval","status","strategy_return_pct","benchmark_return_pct","alpha","beta","sharpe","max_drawdown_pct","image_file","config_ocr","metric_ocr"
"m2_ranked_recent","14","20","complete","1.65","47.47","-0.05","0.41","-0.22","39.06","codex-clipboard-dc1c26f9-1502-44b9-8a82-c4047d7cf8d7.png","# M 3G uses RUN 」 ． ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)IE ""m2-ranked-recent "" L(X)KBACK REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12. 1.65% | 31 100000 47.47% | Python3 Alpha -0.05 | Beta 0.41 | Sharpe -0.22 | 39.06%"
"m2_ranked_recent","252","10","complete","57.89","47.47","0.03","0.37","0.24","27.59","codex-clipboard-e01df42d-03e0-48c4-bcdf-92a3baf2989a.png","from j qdata mport i mport datetime i mport ""m2-ranked-recent "" L(X)KBACK = 252 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=10 ;A F TNTERVAL = 10","57.89% | 47.47% | Alpha 0.03 | Beta 0.37 | Sharpe 0.24 | 27.59% 4"
"m2_recent_confirm","31","5","complete","46.4","47.47","0.02","0.22","0.2","19.3","codex-clipboard-e85bc257-4783-44ec-a7df-3a4ac656c872.png","from jqdata import import datetime import math R 皿 艹 L(X)KBACK •m2-recent-confi rm"" 31 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=5 ;A F TNTERVAL 5","46.40% | 47.47% | Alpha 0.02 | Beta 0.22 | Sharpe 0.20 | 19.30% sss 25."
"m1_absolute","63","20","complete","37.27","47.47","0","0.5","0.08","41.95","codex-clipboard-e8d40da6-b2c5-43d4-b4b7-005906aee2c2.png","# M3G uses ℃ DE= ' m3g-effi （ ency-rank ' from j qdata mport i mport datetime i mport math RtJN--.-frK)[E ""ml-absol ute"" 63 L(X)KBACK REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ CODE-VERSION | lookback_line=KBACK 63 KBACK 63 | interval_line=A1-ANCE-INTERVAL 20 ALANCF TNTERVAL = 20","2015-01-01 2020-12. 37.27% | 31 100000 47.47% | Python3 Alpha 0.00 | Beta 0.50 | Sharpe 0.08 | iÉfi@n 41.95%"
"momentum","31","1","complete","15.24","47.47","-0.03","0.41","-0.09","28.8","codex-clipboard-edb5ad80-29be-47a8-8b47-6c89d53074f3.png","15-06-01 15-12-01 2016 16-12-01 17-06-01 017 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 20-06-01 -209 20-12-01 2020 | manual_red_label_override=31,1","15.24% | 47.47% | Alpha -0.03 | Beta 0.41 | Sharpe -0.09 | 28.80% sss 35. 25."
"momentum","63","1","complete","85.11","47.47","0.06","0.44","0.37","26.27","codex-clipboard-ee140636-28e2-409f-b314-a2fa1966491b.png","15-06-01 15-12-01 2016 16-06-01 16-12-01 2017 631 17-06-01 17-12-01 2018 18-12-01 2019 19-12-01 2020 20-06-01 20-12-01","2015-01-01 2020-12-3 85.11% | 100000 47.47% | Python3 Alpha 0.06 | Beta 0.44 | Sharpe 0.37 | 26.27%"
"m2_recent_confirm","14","1","complete","-31.16","47.47","-0.11","0.22","-0.73","45.23","codex-clipboard-f1983a8c-57dd-4580-87af-78d4c2070f0a.png","from j qdata mport i mport datetime i mport math 'm2-r ecent-confi r m"" L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=II ;A F TNTERVAL","-31.16% | 47.47% | Alpha -0.11 | Beta 0.22 | Sharpe -0.73 | 45.23%"
"momentum","63","20","complete","37.27","47.47","0","0.5","0.08","41.95","codex-clipboard-f3c2bad4-d590-43ef-8439-77869a418466.png","IS-06-01 IS-12-01 2016 16-12-01 17-06-01 630 20 17-12-01 2018 18-12-01 2019 19-06-01 20-06-01 20-12-01 2020 | manual_red_label_override=63,20","2015-01-01 2020-12-: 37.27% | 100000 47.47% | Python3 Alpha 0.00 | Beta 0.50 | Sharpe 0.08 | 41.95%"
"m1_absolute","63","1","complete","85.11","47.47","0.06","0.44","0.37","26.27","codex-clipboard-f6da8a85-3694-471c-8243-554a1e4da8a1.png","# M 3G uses RUN 」 ． ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)[E ""ml-absol ute"" L(X)KBACK 一 63 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12. 85.11% | 100000 47.47% | Python3 Alpha 0.06 | Beta 0.44 | Sharpe 0.37 | 26.27%"
"m2_recent_confirm","126","10","complete","37.06","47.47","0.01","0.3","0.1","25.28","codex-clipboard-fa085a3f-ae3a-4885-8db0-298fb0fdd583.png","from j qdata mport i mport datetime i mport math 'm2-r ecent-confi r m"" L(X)KBACK = 126 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=KBACK 126 KBACK = 126 | interval_line=ALANCE-INTERVAL 10 ALANCE-INTERVAL = 10","37.06% | 47.47% | Alpha 0.01 | Beta 0.30 | Sharpe 0.10 | 25.28%"
