signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2017-12-29,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.06000000|0.02414487,159928|512800,0.06000000|0.02414487,159928,0.05999999999999983,511010,0.001210347059982464,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-01-31,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.15759850|0.11306043,159928|512800,0.15759850|0.11306043,159928,0.1575984990619137,511010,0.0048758075556263325,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-02-28,2,512800|512400,银行ETF华宝|有色金属ETF南方,sector,银行|有色金属,2,0.5,0.04142012|0.02168950,512800|512400,0.04142012|0.02168950,512800,0.041420118343195256,511260,0.013768351680641278,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-03-30,2,512010|512660,医药ETF易方达|军工ETF国泰,sector,医药|军工,2,0.5,0.05990783|0.03026634,512010|512660,0.05990783|0.03026634,512010,0.05990783410138256,511260,0.013786090201916457,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-04-27,2,512010|512660,医药ETF易方达|军工ETF国泰,sector,医药|军工,2,0.5,0.11650485|0.10921053,512010|512660,0.11650485|0.10921053,512010,0.11650485436893221,511260,0.023372477482613174,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-05-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.16541353|0.15098468,159928|512010,0.16541353|0.15098468,159928,0.16541353383458635,511260,0.021930911945787335,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-06-29,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.05434783|0.05204461,512010|159928,0.05434783|0.05204461,512010,0.05434782608695654,511260,0.006076810889644957,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-07-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.01159190,512800|512660,-0.00840336|-0.05124836,512800,-0.008403361344537785,511010,0.011591899372447978,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2018-08-31,2,512800,银行ETF华宝,sector,银行,1,1.0,0.08857809,512800|512880,0.08857809|-0.02182810,512800,0.08857808857808869,511010,0.004160472789239034,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-09-28,2,512800,银行ETF华宝,sector,银行,1,1.0,0.04661017,512800|512660,0.04661017|-0.01108033,512800,0.04661016949152552,511010,0.002799299272182143,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-10-31,2,512800|512880,银行ETF华宝|证券ETF国泰,sector,银行|证券,2,0.5,0.04925054|0.03724138,512800|512880,0.04925054|0.03724138,512800,0.04925053533190571,511260,0.014091042051219915,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-11-30,2,512880,证券ETF国泰,sector,证券,1,1.0,0.05922865,512880|512800,0.05922865|-0.03476483,512880,0.059228650137741035,511260,0.025785047294435648,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2018-12-28,2,159928|512980,消费ETF汇添富|传媒ETF广发,sector,消费|传媒,2,0.5,0.06823529|0.01236476,159928|512980,0.06823529|0.01236476,159928,0.06823529411764717,511260,0.027173804929479406,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-01-31,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.07929515|0.02542373,159928|512800,0.07929515|0.02542373,159928,0.07929515418502198,511010,0.017567965452939482,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-02-28,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.37722908|0.25389755,512880|159928,0.37722908|0.25389755,512880,0.37722908093278473,511260,0.0057333411337974205,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-03-29,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.39327296|0.34020619,512880|159928,0.39327296|0.34020619,512880,0.39327296248382915,511260,0.006375959054539138,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-04-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.22912966|0.08184143,159928|512010,0.22912966|0.08184143,159928,0.22912966252220257,511010,-0.0031643344349905345,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-05-31,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.09003215|0.01190476,159928|512800,0.09003215|0.01190476,159928,0.090032154340836,511010,0.0007005253940455258,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-06-28,2,159928,消费ETF汇添富,sector,消费,1,1.0,0.05139501,159928|512800,0.05139501|-0.00558659,159928,0.05139500734214386,511260,0.018757684552205722,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-07-31,2,512690|512880,酒ETF鹏华|证券ETF国泰,sector,白酒/酒|证券,2,0.5,0.33076923|0.07341491,512690|512880,0.33076923|0.07341491,512690,0.3307692307692307,511260,0.01185797599293581,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-08-30,2,512690|512480,酒ETF鹏华|半导体ETF国联安,sector,白酒/酒|半导体,2,0.5,0.13636364|0.11417323,512690|512480,0.13636364|0.11417323,512690,0.13636363636363624,511260,0.013114343994150124,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2019-09-30,2,512690|512480,酒ETF鹏华|半导体ETF国联安,sector,白酒/酒|半导体,2,0.5,0.20231214|0.13533835,512690|512480,0.20231214|0.13533835,512690,0.20231213872832376,511010,0.0061644669344602665,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
