total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,segment_key,segment_name,segment_start,segment_end,actual_start,actual_end,trading_days,strategy_key,strategy_name,window_label,lookback_days,top_n
0.2331720313472181,0.04195882077277191,0.2753065517643159,-0.4505748779042891,0.2871988033833799,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top3_3m,Top3 3m,3m,63,3
8.39287134518161,0.2248606016705732,0.3579996325578171,-0.4581035887592667,0.746471558837594,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top1_6m,Top1 6m,6m,126,1
3.9191302385562237,0.2654981064139892,0.35866395183611666,-0.40181799461300816,0.8370308726277779,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top1_6m,Top1 6m,6m,126,1
1.0071489012942245,0.1768819217523001,0.3562830287729797,-0.4077314112446867,0.6356126399185249,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top1_6m,Top1 6m,6m,126,1
2.2180404987919697,0.25760205062367203,0.3943900412989539,-0.4581035887592667,0.7791794949349619,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top1_6m,Top1 6m,6m,126,1
3.7373139802151654,0.15124903774558507,0.28728843228606443,-0.4344090503904182,0.6350780342596856,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top2_6m,Top2 6m,6m,126,2
2.717432936896576,0.21417775230219704,0.2847818128295638,-0.3118751949243045,0.8255594234423196,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top2_6m,Top2 6m,6m,126,2
0.3225381162926855,0.06753257743368124,0.29071888400889434,-0.3919016077437909,0.3704233868710577,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top2_6m,Top2 6m,6m,126,2
0.821938290023114,0.12484577899434401,0.30441678533236066,-0.4344090503904182,0.5390902182023737,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top2_6m,Top2 6m,6m,126,2
2.856277981664355,0.12999729956134254,0.2637501061394272,-0.42356525955009694,0.5959603185931023,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top3_6m,Top3 6m,6m,126,3
2.393270652134629,0.1979142347919043,0.2582679939903901,-0.3118751949243046,0.8293638215610096,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top3_6m,Top3 6m,6m,126,3
0.16867051544068934,0.03710833429136717,0.2718866074218546,-0.4093376590957428,0.27016918384087263,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top3_6m,Top3 6m,6m,126,3
0.5744268409664659,0.09309393200188198,0.28008420157651065,-0.42356525955009694,0.45806017127191306,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top3_6m,Top3 6m,6m,126,3
2.900538609445687,0.13116560906335262,0.36511636130661207,-0.5898130446616332,0.5205379837750602,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top1_9m,Top1 9m,9m,189,1
1.7666707943374673,0.16230893291560555,0.36337850008769984,-0.5782948101228007,0.5958210393315038,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top1_9m,Top1 9m,9m,189,1
0.4459153305797732,0.09002383317642737,0.3677944080607288,-0.48143397156590717,0.4188591338900789,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top1_9m,Top1 9m,9m,189,1
0.574189146971031,0.09306156690003609,0.40266959562212634,-0.5898130446616333,0.42318163110517404,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top1_9m,Top1 9m,9m,189,1
2.2157385706360575,0.11156317873088106,0.28509782863251937,-0.4822158351269771,0.5139611985043084,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top2_9m,Top2 9m,9m,189,2
1.2708681914399103,0.12887375348747887,0.2645969848427408,-0.4822158351269771,0.5909282257903541,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top2_9m,Top2 9m,9m,189,2
0.469481556882978,0.09415117571930187,0.3144303039802836,-0.3751549087901058,0.44359150099249345,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top2_9m,Top2 9m,9m,189,2
0.7890623364337543,0.1208361149701429,0.3282050904413013,-0.45207347551662647,0.5120616292209585,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top2_9m,Top2 9m,9m,189,2
2.3720191459164472,0.11634985187120628,0.2576629151553729,-0.4079416025934971,0.5564087614469448,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top3_9m,Top3 9m,9m,189,3
