date,position,strategy_return,strategy_return_after_cost,trade,nav
2015-11-10,511010,0.0027454131511985835,0.0027454131511985835,False,0.8616005605031194
2015-11-11,511010,0.003968518960171696,0.003968518960171696,False,0.8650198386635706
2015-11-12,511010,0.0009121920164194552,0.0009121920164194552,False,0.8658089028544439
2015-11-13,511010,-9.493340421695695e-05,-9.493340421695695e-05,False,0.8657267086678946
2015-11-16,511010,0.00027533301052917736,0.00027533301052917736,False,0.8659650718088876
2015-11-17,511010,0.0011200121492844772,0.0011200121492844772,False,0.8669349632101696
2015-11-18,511010,-0.0018677588789655086,-0.0018677588789655086,False,0.8653157377351481
2015-11-19,511010,0.0005604263039409307,0.0005604263039409307,False,0.865800683435789
2015-11-20,511010,0.00010442773600671806,0.00010442773600671806,False,0.8658910970409932
2015-11-23,511010,-9.492439272063002e-06,-9.492439272063002e-06,False,0.8658828776223383
2015-11-24,511010,0.0023351622273271033,0.0023351622273271033,False,0.8679048546114513
2015-11-25,511010,4.735207212669401e-05,4.735207212669401e-05,False,0.867945951704726
2015-11-26,511010,0.0021023324526265874,0.0021023324526265874,False,0.8697706626461207
2015-11-27,511010,-0.0004914051351837534,-0.0004914051351837534,False,0.8693432528760642
2015-11-30,511010,0.0012763905566008926,0.0012763905566008926,False,0.8704528743944799
2015-12-01,511010,-0.001369190383562091,-0.001369190383562091,False,0.8692610586895151
2015-12-02,511010,0.0015790916913300812,0.0015790916913300812,False,0.8706337016048885
2015-12-03,511010,0.00033042558815754575,0.00033042558815754575,False,0.870921381257811
2015-12-04,511010,-0.00017931464056852864,-0.00017931464056852864,False,0.8707652123033673
2015-12-07,511010,0.0005191617896922462,0.0005191617896922462,False,0.8712172803293885
2015-12-08,511010,0.0005094579933015986,0.0005094579933015986,False,0.8716611289367547
2015-12-09,511010,-0.0001320144461522954,-0.0001320144461522954,False,0.8715460570755856
2015-12-10,511010,0.0004338190220209981,0.0004338190220209981,False,0.8719241503337124
2015-12-11,511010,1.885351759489673e-05,1.885351759489673e-05,False,0.8719405891710221
2015-12-14,511010,-0.0012160289584570716,-0.0012160289584570716,False,0.870880284164536
2015-12-15,511010,0.0006984162938634686,0.0006984162938634686,False,0.871488521145001
2015-12-16,511010,0.0007639491455087022,0.0007639491455087022,False,0.8721542940560504
2015-12-17,511010,0.00033927376565601186,0.00033927376565601186,False,0.8724501931276278
