strategy,signal_date,trade_date,selected_symbols,selected_momentum,market_volatility,high_volatility,bond_weight,target_weights
momentum_baseline,2020-01-03,2020-01-06,512400|512980,0.16425121|0.15514993,0.1433311952485266,False,0.0,512400:0.500000|512980:0.500000
momentum_baseline,2020-02-10,2020-02-11,512480|512170,0.20214190|0.13603819,0.4224408777841566,False,0.0,512480:0.500000|512170:0.500000
momentum_baseline,2020-03-09,2020-03-10,512880|512170,0.10234542|0.10084034,0.3166768329739809,False,0.0,512880:0.500000|512170:0.500000
momentum_baseline,2020-04-07,2020-04-08,159928|512010,0.03234153|0.01197605,0.3428016177447775,False,0.0,159928:0.500000|512010:0.500000
momentum_baseline,2020-05-08,2020-05-11,512690|512480,0.29702970|0.08863636,0.1362968236778956,False,0.0,512690:0.500000|512480:0.500000
momentum_baseline,2020-06-05,2020-06-08,512690|515030,0.30916031|0.06459054,0.16815126661720722,False,0.0,512690:0.500000|515030:0.500000
momentum_baseline,2020-07-07,2020-07-08,512690|512880,0.41982507|0.36315229,0.3328489595410977,False,0.0,512690:0.500000|512880:0.500000
momentum_baseline,2020-08-04,2020-08-05,512660|512010,0.22475570|0.17024540,0.3602199373780841,False,0.0,512660:0.500000|512010:0.500000
momentum_baseline,2020-09-01,2020-09-02,512690|159928,0.21142857|0.08847185,0.20170464852625689,False,0.0,512690:0.500000|159928:0.500000
momentum_baseline,2020-09-29,2020-09-30,515220|515030,-0.01262626|-0.02156334,0.2006057242645129,False,0.0,515220:0.500000|515030:0.500000
momentum_baseline,2020-11-04,2020-11-05,512690|515030,0.22678571|0.20661157,0.19612016647002606,False,0.0,512690:0.500000|515030:0.500000
momentum_baseline,2020-12-02,2020-12-03,515220|512400,0.22413793|0.15147783,0.1787611220407119,False,0.0,515220:0.500000|512400:0.500000
momentum_baseline,2020-12-30,2020-12-31,512690|515030,0.31743869|0.20830245,0.144857103554821,False,0.0,512690:0.500000|515030:0.500000
momentum_baseline,2021-01-28,2021-01-29,515790|512170,0.12398922|0.11398964,0.2649953612300134,False,0.0,515790:0.500000|512170:0.500000
momentum_baseline,2021-03-04,2021-03-05,515220|512400,0.13815789|0.06596558,0.3115517680322413,False,0.0,515220:0.500000|512400:0.500000
momentum_baseline,2021-04-01,2021-04-02,512690|512170,0.07701863|0.01168831,0.27258524517760796,False,0.0,512690:0.500000|512170:0.500000
