date,portfolio_value,nav,daily_return
2015-04-17,109112.91802206964,1.0911291802206964,0.005874917023957371
2015-04-20,107040.74241643243,1.0704074241643244,-0.018991111622714385
2015-04-21,110369.2758441933,1.103692758441933,0.031095948632451575
2015-04-22,112787.39734650872,1.127873973465087,0.021909371823088275
2015-04-23,112619.42711674338,1.1261942711674338,-0.0014892641706173437
2015-04-24,112984.59181273868,1.1298459181273868,0.003242466289735013
2015-04-27,113596.86900709479,1.135968690070948,0.0054191211786727145
2015-04-28,109968.69585083229,1.0996869585083229,-0.03193902427043038
2015-04-29,111641.16356369719,1.116411635636972,0.015208580041119468
2015-04-30,112035.4005160606,1.120354005160606,0.0035312866668437692
2015-05-04,111924.37795106985,1.1192437795106984,-0.0009909596830943723
2015-05-05,107774.07784746245,1.0777407784746245,-0.03708128809455424
2015-05-06,107667.15496492507,1.0766715496492507,-0.0009921020404249914
2015-05-07,106426.06869966618,1.0642606869966618,-0.011527064736346015
2015-05-08,109139.55887454675,1.0913955887454676,0.025496480402165567
2015-05-11,112539.95934071598,1.12539959340716,0.0311564431928657
2015-05-12,113763.97962388335,1.1376397962388336,0.010876317090728893
2015-05-13,114590.99580769255,1.1459099580769256,0.007269578530422427
2015-05-14,113696.13860016824,1.1369613860016825,-0.007809140685242633
2015-05-15,112162.85140996099,1.1216285140996098,-0.01348583346000265
2015-05-18,112994.83667082843,1.1299483667082844,0.007417654333933488
2015-05-19,115581.32066147972,1.1558132066147973,0.02289028478518995
2015-05-20,117657.07805163934,1.1765707805163934,0.01795928077547404
2015-05-21,121905.96885574548,1.2190596885574547,0.03611249637052283
2015-05-22,122539.66892776886,1.2253966892776886,0.0051982694364478554
2015-05-25,126312.7618648592,1.263127618648592,0.03079078775147015
2015-05-26,128908.99866428554,1.2890899866428553,0.020554033979591324
2015-05-27,130609.99460855545,1.3060999460855545,0.013195323537496195
2015-05-28,122243.00884787078,1.2224300884787078,-0.06406083842022159
2015-05-29,123788.26301862128,1.2378826301862127,0.01264083881208733
2015-06-01,130174.99870714221,1.301749987071422,0.05159403268757545
2015-06-02,132849.50697885378,1.3284950697885378,0.020545483374487805
