date,strategy_key,strategy_name,window_label,lookback_days,top_n,portfolio_value,nav,daily_return
2021-08-20,top2_12m,Top2 12m,12m,252,2,319233.428481271,3.19233428481271,-0.010561760150051835
2021-08-23,top2_12m,Top2 12m,12m,252,2,331347.12194516364,3.3134712194516363,0.037946193547218954
2021-08-24,top2_12m,Top2 12m,12m,252,2,337633.1818432457,3.376331818432457,0.01897122226739123
2021-08-25,top2_12m,Top2 12m,12m,252,2,345219.3435729207,3.4521934357292072,0.022468649817709796
2021-08-26,top2_12m,Top2 12m,12m,252,2,349374.9906861184,3.493749906861184,0.012037700640375348
2021-08-27,top2_12m,Top2 12m,12m,252,2,352340.60705861135,3.5234060705861134,0.008488347625194681
2021-08-30,top2_12m,Top2 12m,12m,252,2,361281.75934391416,3.6128175934391416,0.02537644570674047
2021-08-31,top2_12m,Top2 12m,12m,252,2,370208.13316819177,3.7020813316819177,0.02470751316226938
2021-09-01,top2_12m,Top2 12m,12m,252,2,356013.7098970774,3.560137098970774,-0.03834173806404628
2021-09-02,top2_12m,Top2 12m,12m,252,2,367492.3360472195,3.6749233604721954,0.032242090208999485
2021-09-03,top2_12m,Top2 12m,12m,252,2,353889.7147963041,3.5388971479630413,-0.03701470729220213
2021-09-06,top2_12m,Top2 12m,12m,252,2,366778.75124884,3.6677875124884003,0.03642105411273322
2021-09-07,top2_12m,Top2 12m,12m,252,2,385467.28411611484,3.8546728411611486,0.05095315037646664
2021-09-08,top2_12m,Top2 12m,12m,252,2,388850.133835925,3.88850133835925,0.00877597103361727
2021-09-09,top2_12m,Top2 12m,12m,252,2,405695.5120949435,4.056955120949435,0.04332100414327322
2021-09-10,top2_12m,Top2 12m,12m,252,2,395488.42111221584,3.9548842111221583,-0.025159487049831952
2021-09-13,top2_12m,Top2 12m,12m,252,2,405766.8605378973,4.057668605378972,0.025989229714427076
2021-09-14,top2_12m,Top2 12m,12m,252,2,405629.818898269,4.05629818898269,-0.0003377349235631488
2021-09-15,top2_12m,Top2 12m,12m,252,2,406834.50211391057,4.0683450211391055,0.002969907929633031
2021-09-16,top2_12m,Top2 12m,12m,252,2,400686.8055859024,4.006868055859024,-0.015111050061056175
