date,portfolio_value,nav,gross_return,cost,daily_return,one_way_turnover,two_way_traded,cash_target
2021-03-24,266774.8785593813,2.667748785593813,-0.02713438118675833,0.0,-0.02713438118675833,0.0,0.0,False
2021-03-25,266947.5132227379,2.6694751322273786,0.000647117390845664,0.0,0.000647117390845664,0.0,0.0,False
2021-03-26,274120.7261233743,2.7412072612337433,0.02687124826164311,0.0,0.02687124826164311,0.0,0.0,False
2021-03-29,273667.8575440986,2.7366785754409855,-0.0016520771182838936,0.0,-0.0016520771182838936,0.0,0.0,False
2021-03-30,278387.11199461226,2.7838711199461224,0.01724446010161499,0.0,0.01724446010161499,0.0,0.0,False
2021-03-31,275589.4862475465,2.7558948624754653,-0.010049408275480213,0.0,-0.010049408275480213,0.0,0.0,False
2021-04-01,277069.9162794872,2.770699162794872,0.005505200207133002,0.00013333333333333337,0.005371866873799668,0.6666666666666667,1.3333333333333335,False
2021-04-02,273630.452632487,2.73630452632487,-0.012413702985822284,0.0,-0.012413702985822284,0.0,0.0,False
2021-04-06,275479.16549765447,2.7547916549765445,0.0067562394732813,0.0,0.0067562394732813,0.0,0.0,False
2021-04-07,278277.9152103867,2.782779152103867,0.0101595694457558,0.0,0.0101595694457558,0.0,0.0,False
2021-04-08,278096.35235271987,2.7809635235271988,-0.000652451552001776,0.0,-0.000652451552001776,0.0,0.0,False
2021-04-09,280919.9490073605,2.809199490073605,0.010153303453111606,0.0,0.010153303453111606,0.0,0.0,False
2021-04-12,279383.7378132611,2.793837378132611,-0.005468501612390431,0.0,-0.005468501612390431,0.0,0.0,False
2021-04-13,274464.87752278306,2.7446487752278306,-0.017606108104136597,0.0,-0.017606108104136597,0.0,0.0,False
2021-04-14,274494.0499747058,2.744940499747058,0.00010628847008065101,0.0,0.00010628847008065101,0.0,0.0,False
2021-04-15,274976.93238682166,2.7497693238682164,0.0017591726019574039,0.0,0.0017591726019574039,0.0,0.0,False
2021-04-16,280643.88882083195,2.8064388882083193,0.02060884302119692,0.0,0.02060884302119692,0.0,0.0,False
2021-04-19,285305.83519894496,2.8530583519894495,0.016611608389909716,0.0,0.016611608389909716,0.0,0.0,False
2021-04-20,284772.74127102166,2.8477274127102166,-0.0018684999118632195,0.0,-0.0018684999118632195,0.0,0.0,False
2021-04-21,286333.4677116586,2.863334677116586,0.005480603352943703,0.0,0.005480603352943703,0.0,0.0,False
2021-04-22,287226.8189092292,2.872268189092292,0.0031199677938807957,0.0,0.0031199677938807957,0.0,0.0,False
2021-04-23,285147.3781191626,2.851473781191626,-0.007239716673963392,0.0,-0.007239716673963392,0.0,0.0,False
2021-04-26,287651.5408837571,2.8765154088375713,0.008781994704324725,0.0,0.008781994704324725,0.0,0.0,False
2021-04-27,284831.8436837297,2.848318436837297,-0.009802475562496304,0.0,-0.009802475562496304,0.0,0.0,False
2021-04-28,290780.3170482311,2.907803170482311,0.020884158483018556,0.0,0.020884158483018556,0.0,0.0,False
2021-04-29,295646.9125607282,2.956469125607282,0.016736330580759184,0.0,0.016736330580759184,0.0,0.0,False
2021-04-30,286976.49829812994,2.8697649829812995,-0.029326923076923028,0.0,-0.029326923076923028,0.0,0.0,False
2021-05-06,298551.8818204014,2.985518818204014,0.040468983084854804,0.00013333333333333337,0.04033564975152147,0.6666666666666667,1.3333333333333335,False
2021-05-07,298813.0151182394,2.9881301511823937,0.0008746663938131363,0.0,0.0008746663938131363,0.0,0.0,False
2021-05-10,305554.8990968104,3.055548990968104,0.022562216628694398,0.0,0.022562216628694398,0.0,0.0,False
2021-05-11,306883.13590644853,3.0688313590644856,0.004346966170610625,0.0,0.004346966170610625,0.0,0.0,False
2021-05-12,313094.1964647086,3.130941964647086,0.02023917195682423,0.0,0.02023917195682423,0.0,0.0,False
2021-05-13,307343.850393801,3.07343850393801,-0.018366185435046197,0.0,-0.018366185435046197,0.0,0.0,False
2021-05-14,306826.52277014,3.0682652277014,-0.0016832210014877664,0.0,-0.0016832210014877664,0.0,0.0,False
2021-05-17,309423.0609114381,3.0942306091143807,0.008462560921577303,0.0,0.008462560921577303,0.0,0.0,False
2021-05-18,310214.83213265333,3.102148321326533,0.0025588629977449555,0.0,0.0025588629977449555,0.0,0.0,False
2021-05-19,304691.8380521968,3.0469183805219675,-0.01780377180061728,0.0,-0.01780377180061728,0.0,0.0,False
2021-05-20,304279.2658560248,3.042792658560248,-0.0013540638266170326,0.0,-0.0013540638266170326,0.0,0.0,False
2021-05-21,306681.9047957385,3.0668190479573854,0.007896163851172791,0.0,0.007896163851172791,0.0,0.0,False
2021-05-24,310290.01515484136,3.102900151548414,0.011764992660737383,0.0,0.011764992660737383,0.0,0.0,False
