symbol,name,sma_window,regime,start,end,days,years_included,bh_total_return,bh_annualized_return,bh_max_drawdown,bh_sharpe,bh_calmar,sma_total_return,sma_annualized_return,sma_max_drawdown,sma_sharpe,sma_calmar,excess_total_return,drawdown_improvement,trades,time_in_market
510300,沪深300ETF华泰柏瑞,100,震荡期,2015-01-05,2026-06-18,1082,"2015,2016,2021,2023,2026",-0.15538855061077583,-0.03856869752912717,-0.5297225891677673,0.04007866933849034,-0.07280923698141965,-0.5047145409495397,-0.15095395434750647,-0.553038342123245,-1.018278058517189,-0.2729538674804328,-0.3493259903387639,-0.02331575295547772,52,0.4066543438077634
510300,沪深300ETF华泰柏瑞,100,最差年份,2018-01-02,2018-12-28,243,2018,-0.2840842598010517,-0.2928909002578697,-0.35432654141307107,-1.155928373870695,-0.8266129291071644,-0.026430983594404545,-0.02739637746322876,-0.11943400421425665,-0.38020086738851117,-0.22938507038649966,0.25765327620664713,0.23489253719881442,5,0.12345679012345678
510300,沪深300ETF华泰柏瑞,150,趋势期,2017-01-03,2025-12-31,1701,"2017,2018,2019,2020,2022,2024,2025",1.042553908073061,0.11160792336535597,-0.3635882508600148,0.5874023173402994,0.30696240349176235,0.8595413322168977,0.09625598066574304,-0.2020500825012983,0.6272115973913184,0.47639664123930525,-0.18301257585616337,0.16153816835871648,49,0.6196355085243974
510300,沪深300ETF华泰柏瑞,150,上涨趋势期,2017-01-03,2025-12-31,1216,"2017,2019,2020,2024,2025",2.642936502491138,0.3072343669899893,-0.1821611425491778,1.3725788205843694,1.6866075974849883,1.09750959554583,0.1659204290384788,-0.2020500825012984,0.8844747237413246,0.8211846636460175,-1.5454269069453082,-0.0198889399521206,42,0.8199013157894737
510300,沪深300ETF华泰柏瑞,150,下跌趋势期,2018-01-02,2022-12-30,485,"2018,2022",-0.439311141801042,-0.25964669173683685,-0.545504335730177,-1.1033053256641177,-0.47597548677462026,-0.11345276504778268,-0.060651938132104455,-0.1981427761136073,-0.8416429441019787,-0.3061021921754493,0.32585837675325935,0.34736155961656967,7,0.11752577319587629
510300,沪深300ETF华泰柏瑞,150,震荡期,2015-01-05,2026-06-18,1082,"2015,2016,2021,2023,2026",-0.15538855061077583,-0.03856869752912717,-0.5297225891677673,0.04007866933849034,-0.07280923698141965,-0.16383085526940233,-0.040815512063925086,-0.33769255943656407,-0.32827539604274836,-0.12086589095129982,-0.008442304658626498,0.1920300297312032,36,0.38170055452865065
510300,沪深300ETF华泰柏瑞,150,最差年份,2018-01-02,2018-12-28,243,2018,-0.2840842598010517,-0.2928909002578697,-0.35432654141307107,-1.155928373870695,-0.8266129291071644,-0.07121649883726233,-0.07375443851428909,-0.15994125245455504,-0.7461745392406354,-0.4611345564850152,0.21286776096378934,0.19438528895851603,3,0.20164609053497942
510300,沪深300ETF华泰柏瑞,200,趋势期,2017-01-03,2025-12-31,1701,"2017,2018,2019,2020,2022,2024,2025",1.042553908073061,0.11160792336535597,-0.3635882508600148,0.5874023173402994,0.30696240349176235,1.1035680458894848,0.11646578176819733,-0.21867294722976705,0.7292841260527144,0.5326026069691319,0.06101413781642373,0.14491530363024774,25,0.6213991769547325
510300,沪深300ETF华泰柏瑞,200,上涨趋势期,2017-01-03,2025-12-31,1216,"2017,2019,2020,2024,2025",2.642936502491138,0.3072343669899893,-0.1821611425491778,1.3725788205843694,1.6866075974849883,1.2348799414429754,0.18134932371143786,-0.21867294722976705,0.9462684697618323,0.8293175996795251,-1.4080565610481628,-0.03651180468058923,22,0.8256578947368421
510300,沪深300ETF华泰柏瑞,200,下跌趋势期,2018-01-02,2022-12-30,485,"2018,2022",-0.439311141801042,-0.25964669173683685,-0.545504335730177,-1.1033053256641177,-0.47597548677462026,-0.05875568218161631,-0.030972559364174868,-0.1500965863985182,-0.3759569096891369,-0.20635085785322457,0.3805554596194257,0.3954077493316588,3,0.10927835051546392
510300,沪深300ETF华泰柏瑞,200,震荡期,2015-01-05,2026-06-18,1082,"2015,2016,2021,2023,2026",-0.15538855061077583,-0.03856869752912717,-0.5297225891677673,0.04007866933849034,-0.07280923698141965,-0.13776769069767947,-0.03393406862236148,-0.27963230833534825,-0.2446134552743146,-0.12135246039476291,0.017620859913096365,0.250090280832419,28,0.39926062846580407
510300,沪深300ETF华泰柏瑞,200,最差年份,2018-01-02,2018-12-28,243,2018,-0.2840842598010517,-0.2928909002578697,-0.35432654141307107,-1.155928373870695,-0.8266129291071644,-0.05875568218161631,-0.06086423285647269,-0.1500965863985182,-0.5312844824746819,-0.40550044685808767,0.22532857761943537,0.20422995501455288,3,0.21810699588477367
510300,沪深300ETF华泰柏瑞,250,趋势期,2017-01-03,2025-12-31,1701,"2017,2018,2019,2020,2022,2024,2025",1.042553908073061,0.11160792336535597,-0.3635882508600148,0.5874023173402994,0.30696240349176235,1.120682051148668,0.11780680637472196,-0.18618435396194377,0.736119190096341,0.632742783525203,0.07812814307560689,0.177403896898071,29,0.6225749559082893
510300,沪深300ETF华泰柏瑞,250,上涨趋势期,2017-01-03,2025-12-31,1216,"2017,2019,2020,2024,2025",2.642936502491138,0.3072343669899893,-0.1821611425491778,1.3725788205843694,1.6866075974849883,1.3331638565965864,0.19193290600728363,-0.18618435396194366,0.9989722698082991,1.0308755914394128,-1.3097726458945518,-0.004023211412765848,24,0.8067434210526315
510300,沪深300ETF华泰柏瑞,250,下跌趋势期,2018-01-02,2022-12-30,485,"2018,2022",-0.439311141801042,-0.25964669173683685,-0.545504335730177,-1.1033053256641177,-0.47597548677462026,-0.09107024560112331,-0.048403430821694626,-0.17789841213671354,-0.5269641906989089,-0.2720846703482489,0.3482408961999187,0.36760592359346345,5,0.16082474226804125
510300,沪深300ETF华泰柏瑞,250,震荡期,2015-01-05,2026-06-18,1082,"2015,2016,2021,2023,2026",-0.15538855061077583,-0.03856869752912717,-0.5297225891677673,0.04007866933849034,-0.07280923698141965,-0.15981061817320463,-0.03974341622645483,-0.3220217447551973,-0.3084162681154914,-0.12341842398459146,-0.0044220675624288,0.20770084441256997,28,0.3752310536044362
