symbol,name,sma_window,trade_number,entry_date,exit_date,entry_close,exit_close,days_held,total_return,peak_return,giveback_from_peak,max_drawdown,false_breakout,lagging_stop,open_trade
159915,创业板ETF易方达,50,18,2017-04-06,2017-04-11,1.859,1.836,4,-0.015404697090038333,0.001146154510970776,-0.016531903485254573,-0.017694369973190294,True,False,False
159915,创业板ETF易方达,50,19,2017-06-20,2017-06-23,1.748,1.737,4,-0.007135331935564704,0.0030063033910789905,-0.01011123787792334,-0.01597261836851105,True,False,False
159915,创业板ETF易方达,50,20,2017-06-26,2017-07-11,1.749,1.696,12,-0.025560540823228894,0.014535465121446434,-0.0395215419501137,-0.0395215419501137,True,False,False
159915,创业板ETF易方达,50,21,2017-08-15,2017-10-31,1.706,1.773,51,0.03964096178415022,0.08000253477392971,-0.03737173913043468,-0.04130434782608683,False,False,False
159915,创业板ETF易方达,50,22,2017-11-13,2017-11-16,1.799,1.765,4,-0.021401234513001133,-0.0015555555555556433,-0.01987659811006115,-0.022790439132851614,True,False,False
159915,创业板ETF易方达,50,23,2018-01-12,2018-01-15,1.685,1.634,2,-0.04134792165020762,-0.010406231628453888,-0.03126706231454013,-0.03126706231454013,True,False,False
159915,创业板ETF易方达,50,24,2018-01-25,2018-02-01,1.708,1.603,6,-0.06665110409043573,0.002493557669447588,-0.06897267441860455,-0.06897267441860455,True,False,False
159915,创业板ETF易方达,50,25,2018-03-01,2018-03-26,1.687,1.673,18,0.01135208275705124,0.07526403426351203,-0.05943837929093987,-0.08722566122678665,False,False,False
159915,创业板ETF易方达,50,26,2018-03-27,2018-04-24,1.738,1.705,19,0.01715920920605285,0.06950148366013531,-0.048940815187046294,-0.07705192629815738,False,False,False
159915,创业板ETF易方达,50,27,2018-04-25,2018-04-27,1.715,1.707,3,-0.0008072583278473378,0.004865102639296293,-0.005644897959183881,-0.019825072886297423,True,False,False
159915,创业板ETF易方达,50,28,2018-05-02,2018-05-28,1.701,1.698,19,-0.007268470066713384,0.035866289756155245,-0.041641242937853096,-0.041641242937853096,True,False,False
159915,创业板ETF易方达,50,29,2018-11-13,2018-11-26,1.326,1.244,10,-0.04863683556110332,0.022747247793901026,-0.06979640718562885,-0.06979640718562885,True,False,False
159915,创业板ETF易方达,50,30,2018-11-29,2018-11-30,1.247,1.264,2,-0.012169249789785175,-0.012169249789785175,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,31,2018-12-04,2018-12-11,1.315,1.277,6,-0.027125866635706375,0.002816793893129832,-0.029858555133079667,-0.03878326996197701,True,False,False
159915,创业板ETF易方达,50,32,2018-12-12,2018-12-17,1.276,1.24,4,-0.0309222574853385,0.006039931216138994,-0.0367402799377915,-0.0367402799377915,True,False,False
159915,创业板ETF易方达,50,33,2019-02-12,2019-04-30,1.278,1.553,55,0.22619979790416234,0.34439686218577337,-0.08791828336272789,-0.08935920047031165,False,True,False
159915,创业板ETF易方达,50,34,2019-06-28,2019-07-01,1.457,1.511,2,0.0265629845136246,0.0265629845136246,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,35,2019-07-02,2019-08-07,1.511,1.447,27,-0.044273030443414796,0.0062726671078758844,-0.05023061760841008,-0.05023061760841008,False,False,False
159915,创业板ETF易方达,50,36,2019-08-09,2019-08-12,1.45,1.486,2,0.0102500143756461,0.0102500143756461,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,37,2019-08-13,2019-10-09,1.47,1.561,36,0.04836311067285659,0.12268628743556653,-0.06620119760478993,-0.0682634730538918,False,False,False
159915,创业板ETF易方达,50,38,2019-10-10,2019-11-25,1.604,1.599,33,0.0223135404817556,0.06622592062444821,-0.041184873949579814,-0.041184873949579814,False,False,False
159915,创业板ETF易方达,50,39,2019-12-06,2020-02-04,1.662,1.816,36,0.09981370803687217,0.16268092016870517,-0.05407090719499463,-0.10948905109489038,False,False,False
159915,创业板ETF易方达,50,40,2020-02-05,2020-03-17,1.871,1.842,30,0.012324848932349086,0.20752727110052138,-0.16165466970387166,-0.16537585421412238,False,True,False
159915,创业板ETF易方达,50,41,2020-04-21,2020-04-22,1.949,1.967,2,-0.0030138220975660657,-0.0030138220975660657,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,42,2020-04-23,2020-04-24,1.951,1.93,2,-0.020790473198081028,-0.00913421453990848,-0.011763710917478298,-0.011763710917478298,True,False,False
