symbol,name,sma_window,scenario,commission_rate,slippage_rate,one_way_cost,trade_count,turnover_per_year,time_in_market,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar,bh_max_drawdown,bh_sharpe
159915,创业板ETF易方达,150,a_share_etf_low,0.0001,0.0001,0.0002,99,8.96764917325665,0.46369518332135157,0.7873568196154641,0.7523124453399159,-0.035044374275548185,1.997893258426989,-1.2455808130870731,0.052123928077231874,-0.4812824126771267,0.3421038453788121,0.10830216667858951,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,150,a_share_etf_mid,0.0003,0.0002,0.0005,99,8.96764917325665,0.46369518332135157,0.7873568196154641,0.70101735230782,-0.08633946730764408,1.997893258426989,-1.296875906119169,0.049296277339081485,-0.4891704297242385,0.32965299002508874,0.1007752602030164,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,150,a_share_etf_high,0.0005,0.0005,0.001,99,8.96764917325665,0.46369518332135157,0.7873568196154641,0.6188084526098248,-0.16854836700563935,1.997893258426989,-1.3790848058171643,0.04459852757492788,-0.5020565655166969,0.3088908367148223,0.08883167881497343,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,150,previous_0_10pct,0.001,0.0,0.001,99,8.96764917325665,0.46369518332135157,0.7873568196154641,0.6188084526098248,-0.16854836700563935,1.997893258426989,-1.3790848058171643,0.04459852757492788,-0.5020565655166969,0.3088908367148223,0.08883167881497343,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,200,no_cost,0.0,0.0,0.0,73,6.612508986340762,0.4464414090582315,1.2074603086853832,1.2074603086853832,0.0,1.997893258426989,-0.7904329497416058,0.07436194126444029,-0.4524692877291281,0.43571554250679967,0.16434693642446127,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,200,a_share_etf_low,0.0001,0.0001,0.0002,73,6.612508986340762,0.4464414090582315,1.2074603086853832,1.1755203897182875,-0.03193991896709569,1.997893258426989,-0.8223728687087015,0.07294448614850557,-0.45759695998474215,0.429713980514602,0.1594077158006858,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,200,a_share_etf_mid,0.0003,0.0002,0.0005,73,6.612508986340762,0.4464414090582315,1.2074603086853832,1.128463310510622,-0.07899699817476113,1.997893258426989,-0.869429947916367,0.0708212795277463,-0.4652004591162542,0.42070622375849737,0.15223819783472736,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,200,a_share_etf_high,0.0005,0.0005,0.001,73,6.612508986340762,0.4464414090582315,1.2074603086853832,1.052255954767122,-0.15520435391826126,1.997893258426989,-0.9456373036598671,0.0672905257964993,-0.47764176102940437,0.40567965586497245,0.1408807421936391,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,200,previous_0_10pct,0.001,0.0,0.001,73,6.612508986340762,0.4464414090582315,1.2074603086853832,1.052255954767122,-0.15520435391826126,1.997893258426989,-0.9456373036598671,0.0672905257964993,-0.47764176102940437,0.40567965586497245,0.1408807421936391,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,250,no_cost,0.0,0.0,0.0,45,4.076204169662113,0.4094176851186197,2.011339162282333,2.011339162282333,0.0,1.997893258426989,0.013445903855343833,0.10501241997624655,-0.3461393970346581,0.5772712562383155,0.3033818770006464,-0.6957783641160946,0.4621041709979952
