date,momentum_baseline,momentum_bond_defense,momentum_bond_defense_stress,buy_hold_510300
2017-11-22,168635.6030368041,168328.27210417966,163964.66913875414,129376.11408199643
2017-11-23,167589.75719887446,167284.33227406192,162947.25781232864,129090.90909090909
2017-11-24,161994.34106394602,161699.11353771482,157507.54636266053,124099.82174688057
2017-11-27,160875.7992908518,160582.6102575611,156419.06396751653,124135.47237076648
2017-11-28,158481.0177481915,158192.19309840983,154090.88865887548,122032.08556149733
2017-11-29,159714.32017543638,159423.24788649468,155289.97689723858,123030.30303030302
2017-11-30,158431.09941919002,158142.36574335655,154041.72477867402,122602.495543672
2017-12-01,156391.07131900225,156106.05550420948,152058.20580729144,121033.86809269161
2017-12-04,156248.2973186782,155963.54170319025,151919.27337175462,121033.86809269161
2017-12-05,157793.4158460745,157505.8443203666,153422.41327224224,121426.02495543672
2017-12-06,158122.77381237881,157834.60204633535,153741.95271908323,122352.94117647059
2017-12-07,157626.9916162523,157339.72339134704,153260.50374755485,121390.37433155079
2017-12-08,154944.04420293876,154661.6655311046,150651.2538659398,119928.69875222816
2017-12-11,157841.58892840586,157553.92960938474,153469.4373511768,121283.42245989305
2017-12-12,162639.00562374177,162342.60322484537,158135.4170741599,123565.06238859179
2017-12-13,160768.01962338132,160475.02701377057,156317.01732936507,121390.37433155079
2017-12-14,163761.91051351116,163463.46167008695,159229.24897247116,122459.89304812833
2017-12-15,163676.2671744176,163377.97441219335,158892.44856532896,121568.62745098039
2017-12-18,161799.44461007923,161504.57227402052,157071.08281422034,120142.60249554366
2017-12-19,162215.92700722028,161920.29565040185,157475.03430272389,120213.9037433155
2017-12-20,163254.4812228691,162956.9571468981,158481.3289711405,121853.83244206772
2017-12-21,162136.79009128307,161841.30295799597,157394.56752755103,121354.72370766487
2017-12-22,162739.55434368842,162442.9686991943,157979.64592331956,123351.15864527629
2017-12-25,163651.65605390767,163353.40814436274,158868.01567549963,122852.04991087344
2017-12-26,163627.0449333978,163328.84187653213,158843.5827856703,122174.68805704098
2017-12-27,164366.86880004767,164067.3174468862,159560.9223090451,122531.19429590018
2017-12-28,164607.67645073927,164307.68623627844,159798.08310165355,120249.55436720142
2017-12-29,167960.74984549737,167654.64880298474,163058.3674324219,121497.32620320855
2018-01-02,167980.0574115998,167673.92118190136,163075.6322165663,122210.33868092691
2018-01-03,169229.50460302288,168921.09131104525,164287.48668207717,123992.86987522281
2018-01-04,170136.30275883467,169826.2368672997,165168.68832857237,124777.183600713
2018-01-05,171253.9938904207,170941.8910562018,166255.44977216184,125525.84670231729
2018-01-08,170670.53720411778,170359.49769392016,165687.63616053778,125775.4010695187
2018-01-09,172675.71892541315,172361.02506016003,167638.33446647797,126417.11229946524
2018-01-10,172210.01428725227,171896.16914811748,167185.5171983157,127486.63101604277
2018-01-11,173056.9830932293,172741.59439088276,168003.51685378246,128021.39037433155
2018-01-12,174150.06310430542,173832.6823119542,169065.8454075426,128057.04099821746
2018-01-15,173370.26163126857,173054.30199263373,168173.1646558704,128877.00534759357
2018-01-16,169802.17370263382,169492.7167465348,164709.690798991,128591.80035650622
2018-01-17,171895.1746248369,171581.90326707048,166739.46235482465,130160.42780748663
2018-01-18,169841.57052460348,169532.04176953784,164746.8813733369,129875.22281639928
2018-01-19,169524.9568273106,169216.00508671353,164440.14660587237,130730.83778966131
2018-01-22,166395.6644298823,166092.41568636082,161407.08945888263,130623.88591800355
2018-01-23,171719.72161167464,171406.77000926953,166570.3997306096,133368.98395721926
2018-01-24,172496.66193686018,172182.29439505417,167324.44145547843,134616.7557932264
2018-01-25,172229.65404741326,171915.77311568364,167066.49744912056,134616.7557932264
2018-01-26,171319.20977750426,171006.98809021377,166183.48372107284,133262.03208556148
2018-01-29,170584.2185207575,170273.33632254484,165469.53261724015,134866.3101604278
2018-01-30,168592.98146071544,168285.7282040295,163540.24263031007,131194.29590017826
2018-01-31,167135.7601795672,166831.16264425512,162126.8406560957,129554.36720142602
2018-02-01,167763.88308121485,167458.14081967834,162734.5100976444,130409.98217468805
2018-02-02,163656.6748807481,163358.41782461305,158749.3481346689,128270.94474153296
2018-02-05,163980.9453174482,163682.09729277546,159064.78304220398,128948.30659536541
2018-02-06,159250.71870827198,158960.4913125123,154477.75173106015,127914.43850267379
2018-02-07,157798.6019200619,157511.02094296337,153070.14985022618,127914.43850267379
2018-02-08,153654.54914409452,153374.52052000776,149050.69735959498,122210.33868092691
2018-02-09,149201.53941024147,148929.62619956592,144733.21024156973,117397.50445632798
2018-02-12,147889.79122889912,147620.26862130305,143227.71917039156,114937.61140819963
2018-02-13,148171.59876981025,147847.2235184019,143448.27346268005,117825.311942959
2018-02-14,148620.25803022418,148241.67075285414,143831.07874146322,118680.92691622103
2018-02-22,150754.1805234951,149926.68119038088,145466.7563423724,121354.72370766487
2018-02-23,150811.65843419931,149930.35899440205,145470.58928216127,122709.44741532976
2018-02-26,152799.0951444049,151517.52501551362,147009.8875968863,124278.07486631015
2018-02-27,154076.4309897228,152564.18095769556,148022.62506440212,125347.5935828877
2018-02-28,149929.1238371991,149281.73202497256,144838.18409516197,121782.5311942959
2018-03-01,149339.5608063296,148871.57643819286,144440.11347258187,120784.3137254902
2018-03-02,149647.31629628793,149167.76693893527,144727.4330639313,121497.32620320855
2018-03-05,149057.75326541846,148723.05621576295,144295.7818323869,121675.57932263814
2018-03-06,149699.21219438233,149233.83690806638,144790.6042908899,122281.63992869874
2018-03-07,151123.03382276563,150345.42761295626,145867.7395122429,123279.85739750446
2018-03-08,150455.62694475456,149856.18711181846,145394.36748140262,122281.63992869874
2018-03-09,150705.90452400874,150035.16150324966,145567.51784636622,123921.56862745098
2018-03-12,152739.6551196989,151629.29818699972,147111.26051830553,125454.54545454544
2018-03-13,152817.49896684045,151686.16908510542,147164.97439223155,125062.38859180035
2018-03-14,150867.1742309017,150120.51777651533,145648.65489047373,123279.85739750446
2018-03-15,150053.28156982525,149462.95135060596,145010.40979167298,122923.35115864527
2018-03-16,150027.33362077805,149445.82269866555,144994.28191882803,123992.86987522281
2018-03-19,148371.71770168343,148126.26417282218,143484.6020790576,122531.19429590018
2018-03-20,150793.5456097415,150544.08561512292,145824.11455608121,122887.70053475935
2018-03-21,154685.18580427126,154429.28781167298,149586.77766208467,123850.26737967914
