date,window_label,lookback_days,position,strategy_return,strategy_return_after_cost,trade,nav
2018-06-25,mom_2m,42,159928,0.0,0.0,False,1.2787229355672838
2018-06-26,mom_2m,42,159928,-0.011904761904761862,-0.011904761904761862,False,1.263500043477197
2018-06-27,mom_2m,42,159928,-0.036144578313252906,-0.036144578313252906,False,1.217831367206937
2018-06-28,mom_2m,42,159928,-0.017857142857142905,-0.017857142857142905,False,1.196084378506813
2018-06-29,mom_2m,42,159928,0.029090909090908834,0.029090909090908834,False,1.2308795604270109
2018-07-02,mom_2m,42,512010,-0.0020618556701030855,-0.0022618556701030855,True,1.2280954885140452
2018-07-03,mom_2m,42,512010,-0.008264462809917328,-0.008264462809917328,False,1.2179459390221936
2018-07-04,mom_2m,42,512010,-0.022916666666666696,-0.022916666666666696,False,1.1900346779196016
2018-07-05,mom_2m,42,512010,-0.025586353944562767,-0.025586353944562767,False,1.159586029444047
2018-07-06,mom_2m,42,512010,0.015317286652078765,0.015317286652078765,False,1.1773477410547872
2018-07-09,mom_2m,42,512010,0.0344827586206895,0.0344827586206895,False,1.2179459390221936
2018-07-10,mom_2m,42,512010,0.006250000000000089,0.006250000000000089,False,1.2255581011410823
2018-07-11,mom_2m,42,512010,-0.0020703933747412417,-0.0020703933747412417,False,1.2230207137681193
2018-07-12,mom_2m,42,512010,0.020746887966804906,0.020746887966804906,False,1.2483945874977482
2018-07-13,mom_2m,42,512010,0.018292682926829285,0.018292682926829285,False,1.2712310738544144
2018-07-16,mom_2m,42,512010,0.007984031936127733,0.007984031936127733,False,1.281380623346266
2018-07-17,mom_2m,42,512010,-0.015841584158415856,-0.015841584158415856,False,1.2610815243625626
2018-07-18,mom_2m,42,512010,0.002012072434607548,0.002012072434607548,False,1.2636189117355254
2018-07-19,mom_2m,42,512010,-0.02208835341365467,-0.02208835341365467,False,1.2357076506329334
2018-07-20,mom_2m,42,512010,0.006160164271047153,0.006160164271047153,False,1.2433198127518221
2018-07-23,mom_2m,42,512010,-0.04081632653061229,-0.04081632653061229,False,1.192572065292564
2018-07-24,mom_2m,42,512010,0.008510638297872353,0.008510638297872353,False,1.2027216147844155
2018-07-25,mom_2m,42,512010,0.014767932489451407,0.014767932489451407,False,1.2204833263951558
2018-07-26,mom_2m,42,512010,-0.010395010395010451,-0.010395010395010451,False,1.2077963895303412
2018-07-27,mom_2m,42,512010,-0.010504201680672232,-0.010504201680672232,False,1.1951094526655268
2018-07-30,mom_2m,42,512010,-0.02547770700636931,-0.02547770700636931,False,1.1646608041899722
2018-07-31,mom_2m,42,512010,0.004357298474945592,0.004357298474945592,False,1.169735578935898
2018-08-01,mom_2m,42,511010,0.002636759314442516,0.002436759314442516,True,1.172585943003305
2018-08-02,mom_2m,42,511010,0.0007835437793828337,0.0007835437793828337,False,1.1735047154247369
2018-08-03,mom_2m,42,511010,0.0008639231108431566,0.0008639231108431566,False,1.1745185332690757
2018-08-06,mom_2m,42,511010,0.0006923401997895873,0.0006923401997895873,False,1.1753316996650558
2018-08-07,mom_2m,42,511010,0.000584038672345244,0.000584038672345244,False,1.1760181388304936
2018-08-08,mom_2m,42,511010,-0.0010326960551010345,-0.0010326960551010345,False,1.1748036695377961
2018-08-09,mom_2m,42,511010,-0.0012854625867462222,-0.0012854625867462222,False,1.1732935033738332
