Order Id,Column,Timestamp,Size,Price,Fees,Side
61,512800,2020-01-02,316209.09898764075,0.5759424,18.211822737277938,Sell
62,512480,2020-01-03,243726.37350629753,0.7470747,18.208180736924987,Buy
63,512480,2020-04-01,243726.37350629753,0.8099190000000001,19.7398620703847,Sell
64,512170,2020-04-02,406885.38347667066,0.4850485,19.73591449271771,Buy
65,512170,2020-05-06,406885.38347667066,0.5359464,21.806875648694113,Sell
66,512690,2020-05-06,872013.3870476263,0.250025,21.802514709648676,Buy
67,512690,2020-11-02,872013.3870476263,0.6739326000000001,58.76782491678132,Sell
68,515030,2020-11-02,455427.8876533815,1.290129,58.75607252703048,Buy
69,515030,2020-12-01,455427.8876533815,1.3608639,61.97753713607426,Sell
70,512690,2020-12-02,844127.3429615328,0.7340734,61.96514286810998,Buy
71,512690,2021-03-01,844127.3429615328,0.8709129,73.5161392227923,Sell
72,512400,2021-03-02,656197.2147885526,1.120112,73.5014374650782,Buy
73,512400,2021-04-01,656197.2147885526,0.9949005,65.28509370917384,Sell
74,515220,2021-04-01,1277211.5742633825,0.5110511,65.27203799597919,Buy
75,515220,2021-05-06,1277211.5742633825,0.59994,76.62503118635738,Sell
76,512690,2021-05-07,830824.8102789231,0.9220922,76.60970771242864,Buy
77,512690,2021-07-01,830824.8102789231,1.079892,89.72010660217269,Sell
78,512480,2021-07-02,699089.5951330429,1.2831283,89.7021643751068,Buy
79,512480,2021-09-01,699089.5951330429,1.3038696,91.15216707702827,Sell
80,515220,2021-09-01,989411.7913558688,0.9210921000000001,91.13393846643157,Buy
81,515220,2021-11-01,989411.7913558688,0.8199179999999999,81.12365371449212,Sell
82,512690,2021-11-02,933248.7994705715,0.8690869,81.10743060603272,Buy
83,512690,2021-12-01,933248.7994705715,0.9269073000000001,86.50351249455089,Sell
84,512660,2021-12-02,600121.8998290958,1.4411441,86.48621352191549,Buy
85,512660,2022-01-04,600121.8998290958,1.4428557000000002,86.58893038632401,Sell
86,512980,2022-01-04,971525.9038838225,0.8910891,86.57161433179863,Buy
87,512980,2022-02-07,971525.9038838225,0.719928,69.94287009312727,Sell
88,512800,2022-02-08,1151925.7121705648,0.6070607,69.92888291785493,Buy
89,512800,2022-03-01,1151925.7121705648,0.5919407999999999,68.18718276028139,Sell
90,515220,2022-03-01,721341.0583527533,0.9450945,68.17354668735061,Buy
91,515220,2022-07-01,721341.0583527533,1.1148885,80.42148505353137,Sell
92,515790,2022-07-01,481709.7820762533,1.6691669,80.40540236479137,Buy
93,515790,2022-09-01,481709.7820762533,1.6088391,77.49935322567555,Sell
94,515220,2022-09-02,662188.9512319068,1.1701169999999999,77.48385490488727,Buy
95,515220,2022-11-01,662188.9512319068,1.0138986,67.13924505894987,Sell
96,515230,2022-11-01,816534.144062342,0.8220822,67.12581855256576,Buy
97,515230,2023-01-03,816534.144062342,0.8249175,67.3573304784547,Sell
98,512690,2023-01-04,804505.6947037783,0.8370837,67.34386035939679,Buy
99,512690,2023-03-01,804505.6947037783,0.9409059,75.69641547303837,Sell
