symbol,name,sma_window,capital_cny,commission_rate,min_commission_cny,slippage_rate,avg_effective_commission_rate,min_commission_bind_rate,trade_count,turnover_per_year,time_in_market,total_commission_cny,total_slippage_cny,total_cost_cny,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar
159915,创业板ETF易方达,250,100000,0.0001,5,0.0005,0.0001,0,45,4.07620417,0.409417685,450,2250,2700,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
159915,创业板ETF易方达,250,200000,0.0001,5,0.0005,0.0001,0,45,4.07620417,0.409417685,900,4500,5400,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
159915,创业板ETF易方达,250,500000,0.0001,5,0.0005,0.0001,0,45,4.07620417,0.409417685,2250,11250,13500,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
159915,创业板ETF易方达,250,1000000,0.0001,5,0.0005,0.0001,0,45,4.07620417,0.409417685,4500,22500,27000,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
159915,创业板ETF易方达,250,10000,0.0001,5,0.0002,0.0005,1,45,4.07620417,0.409417685,225,90,315,2.011339162,1.917974786,-0.093364376,1.997893258,-0.079918472,0.101864426,-0.348430932,0.563790925,0.292351846
159915,创业板ETF易方达,250,8000,0.0001,5,0.0001,0.000625,1,45,4.07620417,0.409417685,225,36,261,2.011339162,1.914693234,-0.096645929,1.997893258,-0.083200025,0.101752123,-0.348512654,0.563309009,0.291961058
159915,创业板ETF易方达,250,20000,0.0001,5,0.0005,0.00025,1,45,4.07620417,0.409417685,225,450,675,2.011339162,1.91141529,-0.099923873,1.997893258,-0.086477969,0.101639829,-0.348594367,0.56282706,0.291570485
159915,创业板ETF易方达,250,8000,0.0001,5,0.0002,0.000625,1,45,4.07620417,0.409417685,225,72,297,2.011339162,1.901603069,-0.109736093,1.997893258,-0.096290189,0.101302997,-0.348839458,0.561381023,0.290400054
159915,创业板ETF易方达,250,10000,0.0001,5,0.0005,0.0005,1,45,4.07620417,0.409417685,225,225,450,2.011339162,1.878833462,-0.1325057,1.997893258,-0.119059797,0.100517359,-0.34941105,0.558005831,0.287676533
159915,创业板ETF易方达,250,5000,0.0001,5,0.0001,0.001,1,45,4.07620417,0.409417685,225,22.5,247.5,2.011339162,1.865900795,-0.145438368,1.997893258,-0.131992464,0.100068613,-0.349737493,0.556076464,0.286124923
159915,创业板ETF易方达,250,8000,0.0001,5,0.0005,0.000625,1,45,4.07620417,0.409417685,225,180,405,2.011339162,1.862676514,-0.148662648,1.997893258,-0.135216744,0.099956448,-0.349819084,0.555594044,0.285737551
