date,window_label,lookback_days,rebalance_frequency,position,strategy_return,strategy_return_after_cost,trade,nav
2023-09-26,mom_4m,84,weekly,515220,-0.01352657004830915,-0.01352657004830915,False,2.0572398201924607
2023-09-27,mom_4m,84,weekly,515220,-0.00685602350636616,-0.00685602350636616,False,2.043135335626989
2023-09-28,mom_4m,84,weekly,515220,0.012820512820512775,0.012820512820512775,False,2.0693293783914375
2023-10-09,mom_4m,84,weekly,515220,0.011684518013632017,0.011684518013632017,False,2.0935084947893903
2023-10-10,mom_4m,84,weekly,515220,-0.02213666987487961,-0.02213666987487961,False,2.0471651883599815
2023-10-11,mom_4m,84,weekly,515220,-0.011811023622047223,-0.011811023622047223,False,2.022986071962029
2023-10-12,mom_4m,84,weekly,515220,0.0,0.0,False,2.022986071962029
2023-10-13,mom_4m,84,weekly,515220,0.004980079681274896,0.004980079681274896,False,2.033060703794509
2023-10-16,mom_4m,84,weekly,515220,0.014866204162537366,0.014866204162537366,False,2.06328459929195
2023-10-17,mom_4m,84,weekly,515220,0.00390625,0.00390625,False,2.0713443047579343
2023-10-18,mom_4m,84,weekly,515220,-0.0077821011673151474,-0.0077821011673151474,False,2.055224893825966
2023-10-19,mom_4m,84,weekly,515220,-0.015686274509803977,-0.015686274509803977,False,2.022986071962029
2023-10-20,mom_4m,84,weekly,515220,-0.005976095617529875,-0.005976095617529875,False,2.010896513763053
2023-10-23,mom_4m,84,weekly,515220,-0.01503006012024044,-0.01503006012024044,False,1.9806726182656123
2023-10-24,mom_4m,84,weekly,515220,0.011190233977619535,0.011190233977619535,False,2.0028368082970687
2023-10-25,mom_4m,84,weekly,515220,0.015090543259557165,0.015090543259557165,False,2.033060703794509
2023-10-26,mom_4m,84,weekly,515220,-0.01783944499504453,-0.01783944499504453,False,1.9967920291975805
2023-10-27,mom_4m,84,weekly,515220,-0.003027245206861706,-0.003027245206861706,False,1.9907472500980925
2023-10-30,mom_4m,84,weekly,515220,-0.011133603238866363,-0.011133603238866363,False,1.968583060066636
2023-10-31,mom_4m,84,weekly,515220,0.0122824974411464,0.0122824974411464,False,1.9927621764645886
2023-11-01,mom_4m,84,weekly,515220,-0.00707785642062686,-0.00707785642062686,False,1.9786576918991163
2023-11-02,mom_4m,84,weekly,515220,-0.0010183299389001643,-0.0010183299389001643,False,1.9766427655326204
2023-11-03,mom_4m,84,weekly,515220,0.004077471967380175,0.004077471967380175,False,1.9847024709986045
2023-11-06,mom_4m,84,weekly,512880,0.04016913319238902,0.03996913319238902,True,2.0640293084092116
2023-11-07,mom_4m,84,weekly,512880,0.0030487804878049918,0.0030487804878049918,False,2.0703220806909473
2023-11-08,mom_4m,84,weekly,512880,-0.008105369807497431,-0.008105369807497431,False,2.0535413546063195
2023-11-09,mom_4m,84,weekly,512880,-0.0040858018386108474,-0.0040858018386108474,False,2.0451509915640056
2023-11-10,mom_4m,84,weekly,512880,0.0,0.0,False,2.0451509915640056
2023-11-13,mom_4m,84,weekly,512880,-0.00512820512820511,-0.00512820512820511,False,2.0346630377611135
2023-11-14,mom_4m,84,weekly,512880,0.013402061855670055,0.013402061855670055,False,2.0619317176486334
2023-11-15,mom_4m,84,weekly,512880,0.0010172939979653517,0.0010172939979653517,False,2.0640293084092116
2023-11-16,mom_4m,84,weekly,512880,-0.009146341463414642,-0.009146341463414642,False,2.0451509915640056
2023-11-17,mom_4m,84,weekly,512880,0.004102564102564044,0.004102564102564044,False,2.0535413546063195
2023-11-20,mom_4m,84,weekly,512880,-0.0040858018386108474,-0.0040858018386108474,False,2.0451509915640056
2023-11-21,mom_4m,84,weekly,512880,-0.002051282051282022,-0.002051282051282022,False,2.0409558100428487
2023-11-22,mom_4m,84,weekly,512880,-0.009249743062692661,-0.009249743062692661,False,2.0220774931976426
2023-11-23,mom_4m,84,weekly,512880,0.003112033195020736,0.003112033195020736,False,2.028370265479378
2023-11-24,mom_4m,84,weekly,512880,-0.010341261633919352,-0.010341261633919352,False,2.007394357873593
2023-11-27,mom_4m,84,weekly,515220,0.016252390057361232,0.016052390057361234,True,2.039617835105126
2023-11-28,mom_4m,84,weekly,515220,0.0018814675446847673,0.0018814675446847673,False,2.0434553098654367
2023-11-29,mom_4m,84,weekly,515220,0.010328638497652642,0.010328638497652642,False,2.0645614210471455
2023-11-30,mom_4m,84,weekly,515220,-0.005576208178438624,-0.005576208178438624,False,2.0530489967662136
2023-12-01,mom_4m,84,weekly,515220,0.010280373831775602,0.010280373831775602,False,2.074155107947922
2023-12-04,mom_4m,84,weekly,515220,0.009250693802035137,0.009250693802035137,False,2.0933424817494752
2023-12-05,mom_4m,84,weekly,515220,-0.027497708524289677,-0.027497708524289677,False,2.035780360344815
2023-12-06,mom_4m,84,weekly,515220,0.005655042412818112,0.005655042412818112,False,2.0472927846257467
2023-12-07,mom_4m,84,weekly,515220,-0.007497656982193068,-0.007497656982193068,False,2.031942885584504
2023-12-08,mom_4m,84,weekly,515220,-0.0037771482530689626,-0.0037771482530689626,False,2.0242679360638824
2023-12-11,mom_4m,84,weekly,515220,0.02369668246445511,0.02369668246445511,False,2.072236370567766
2023-12-12,mom_4m,84,weekly,515220,0.007407407407407307,0.007407407407407307,False,2.0875862696090084
2023-12-13,mom_4m,84,weekly,515220,-0.01194852941176483,-0.01194852941176483,False,2.0626426836669887
2023-12-14,mom_4m,84,weekly,515220,0.007441860465116301,0.007441860465116301,False,2.0779925827082315
2023-12-15,mom_4m,84,weekly,515220,-0.009233610341643606,-0.009233610341643606,False,2.058805208906678
2023-12-18,mom_4m,84,weekly,515220,0.0,0.0,False,2.058805208906678
2023-12-19,mom_4m,84,weekly,515220,-0.005591798695246952,-0.005591798695246952,False,2.0472927846257463
2023-12-20,mom_4m,84,weekly,515220,0.004686035613870709,0.004686035613870709,False,2.056886471526523
2023-12-21,mom_4m,84,weekly,515220,-0.00093283582089565,-0.00093283582089565,False,2.0549677341463677
2023-12-22,mom_4m,84,weekly,515220,0.010270774976657515,0.010270774976657515,False,2.076073845328077
2023-12-25,mom_4m,84,weekly,515220,0.01016635859519388,0.01016635859519388,False,2.0971799565097853
2023-12-26,mom_4m,84,weekly,515220,-0.020128087831655983,-0.020128087831655983,False,2.0549677341463677
2023-12-27,mom_4m,84,weekly,515220,0.012138188608777023,0.012138188608777023,False,2.0799113200883874
2023-12-28,mom_4m,84,weekly,515220,-0.01845018450184499,-0.01845018450184499,False,2.0415365724852808
2023-12-29,mom_4m,84,weekly,515220,0.007518796992481258,0.007518796992481258,False,2.0568864715265236
2024-01-02,mom_4m,84,weekly,515220,0.03731343283582089,0.03731343283582089,False,2.1336359667327374
2024-01-03,mom_4m,84,weekly,515220,0.01348920863309333,0.01348920863309333,False,2.162417027435067
2024-01-04,mom_4m,84,weekly,515220,0.009760425909494108,0.009760425909494108,False,2.1835231386167755
2024-01-05,mom_4m,84,weekly,515220,-0.002636203866432263,-0.002636203866432263,False,2.1777669264763095
2024-01-08,mom_4m,84,weekly,515220,-0.008810572687224627,-0.008810572687224627,False,2.158579552674756
2024-01-09,mom_4m,84,weekly,515220,0.015111111111111075,0.015111111111111075,False,2.191198088137397
2024-01-10,mom_4m,84,weekly,515220,-0.012259194395796813,-0.012259194395796813,False,2.164335764815222
2024-01-11,mom_4m,84,weekly,515220,-0.014184397163120366,-0.014184397163120366,False,2.1336359667327374
2024-01-12,mom_4m,84,weekly,515220,0.0053956834532373765,0.0053956834532373765,False,2.1451483910136693
2024-01-15,mom_4m,84,weekly,515220,0.0,0.0,False,2.1451483910136693
2024-01-16,mom_4m,84,weekly,515220,-0.0026833631484795006,-0.0026833631484795006,False,2.1393921788732033
2024-01-17,mom_4m,84,weekly,515220,-0.016143497757847514,-0.016143497757847514,False,2.104854906030407
2024-01-18,mom_4m,84,weekly,515220,-0.004557885141294293,-0.004557885141294293,False,2.0952612191296307
2024-01-19,mom_4m,84,weekly,515220,-0.01739926739926756,-0.01739926739926756,False,2.058805208906679
2024-01-22,mom_4m,84,weekly,515220,-0.033550792171481825,-0.033550792171481825,False,1.989730663221087
2024-01-23,mom_4m,84,weekly,515220,0.01928640308582441,0.01928640308582441,False,2.0281054108241934
2024-01-24,mom_4m,84,weekly,515220,0.030274361400189242,0.030274361400189242,False,2.0895050069891643
2024-01-25,mom_4m,84,weekly,515220,0.03673094582185499,0.03673094582185499,False,2.166254502195378
2024-01-26,mom_4m,84,weekly,515220,0.011514614703277193,0.011514614703277193,False,2.1911980881373974
2024-01-29,mom_4m,84,weekly,515220,-0.005253940455341555,-0.005253940455341555,False,2.179685663856465
2024-01-30,mom_4m,84,weekly,515220,-0.0061619718309857685,-0.0061619718309857685,False,2.166254502195378
2024-01-31,mom_4m,84,weekly,515220,-0.0008857395925598865,-0.0008857395925598865,False,2.1643357648152226
2024-02-01,mom_4m,84,weekly,515220,-0.02127659574468066,-0.02127659574468066,False,2.118286067691495
2024-02-02,mom_4m,84,weekly,515220,-0.0027173913043478937,-0.0027173913043478937,False,2.112529855551029
2024-02-05,mom_4m,84,weekly,515220,0.0018165304268846771,0.0018165304268846771,False,2.11636733031134
2024-02-06,mom_4m,84,weekly,515220,0.0072529465095194645,0.0072529465095194645,False,2.131717229352583
2024-02-07,mom_4m,84,weekly,515220,0.02880288028802891,0.02880288028802891,False,2.1931168255175537
2024-02-08,mom_4m,84,weekly,515220,0.005249343832020914,0.005249343832020914,False,2.2046292497984856
2024-02-19,mom_4m,84,weekly,515220,0.05134899912967783,0.05134899912967783,False,2.31783475522765
2024-02-20,mom_4m,84,weekly,515220,0.0033112582781456013,0.0033112582781456013,False,2.325509704748271
2024-02-21,mom_4m,84,weekly,515220,-0.004125412541254092,-0.004125412541254092,False,2.3159160178474947
2024-02-22,mom_4m,84,weekly,515220,0.05385252692626352,0.05385252692626352,False,2.440633947557592
2024-02-23,mom_4m,84,weekly,515220,-0.01493710691823913,-0.01493710691823913,False,2.4041779373346404
2024-02-26,mom_4m,84,weekly,515220,-0.025538707102952807,-0.025538707102952807,False,2.34277834116967
2024-02-27,mom_4m,84,weekly,515220,0.005733005733005614,0.005733005733005614,False,2.356209502830757
2024-02-28,mom_4m,84,weekly,515220,-0.0073289902280129215,-0.0073289902280129215,False,2.338940866409359
2024-02-29,mom_4m,84,weekly,515220,0.004922067268252617,0.004922067268252617,False,2.350453290690291
2024-03-01,mom_4m,84,weekly,515220,0.013877551020408108,0.013877551020408108,False,2.3830718261529316
2024-03-04,mom_4m,84,weekly,515220,0.024154589371980784,0.024154589371980784,False,2.440633947557592
2024-03-05,mom_4m,84,weekly,515220,-0.004716981132075526,-0.004716981132075526,False,2.4291215232766596
2024-03-06,mom_4m,84,weekly,515220,0.008688783570300007,0.008688783570300007,False,2.450227634458368
2024-03-07,mom_4m,84,weekly,515220,0.01018010963195004,0.01018010963195004,False,2.4751712204003877
2024-03-08,mom_4m,84,weekly,515220,-0.011627906976744318,-0.011627906976744318,False,2.4463901596980575
2024-03-11,mom_4m,84,weekly,515220,-0.03137254901960773,-0.03137254901960773,False,2.369640664491844
2024-03-12,mom_4m,84,weekly,515220,-0.03319838056680169,-0.03319838056680169,False,2.290972431905475
2024-03-13,mom_4m,84,weekly,515220,-0.00670016750418756,-0.00670016750418756,False,2.2756225328642326
2024-03-14,mom_4m,84,weekly,515220,0.00590219224283306,0.00590219224283306,False,2.28905369452532
2024-03-15,mom_4m,84,weekly,515220,-0.015088013411567514,-0.015088013411567514,False,2.2545164216825238
2024-03-18,mom_4m,84,weekly,515220,-0.014468085106383088,-0.014468085106383088,False,2.2218978862198826
2024-03-19,mom_4m,84,weekly,515220,0.012953367875647714,0.012953367875647714,False,2.250678946922213
2024-03-20,mom_4m,84,weekly,515220,0.002557544757033181,0.002557544757033181,False,2.2564351590626788
2024-03-21,mom_4m,84,weekly,515220,-0.003401360544217691,-0.003401360544217691,False,2.2487602095420574
2024-03-22,mom_4m,84,weekly,515220,0.0034129692832765013,0.0034129692832765013,False,2.2564351590626788
2024-03-25,mom_4m,84,weekly,515220,-0.008503401360544172,-0.008503401360544172,False,2.2372477852611254
2024-03-26,mom_4m,84,weekly,515220,-0.02487135506003424,-0.02487135506003424,False,2.181604401236621
2024-03-27,mom_4m,84,weekly,515220,-0.006156552330694898,-0.006156552330694898,False,2.1681732395755335
2024-03-28,mom_4m,84,weekly,515220,0.005309734513274433,0.005309734513274433,False,2.179685663856466
2024-03-29,mom_4m,84,weekly,515220,0.01936619718309851,0.01936619718309851,False,2.221897886219883
2024-04-01,mom_4m,84,weekly,515220,-0.006908462867012077,-0.006908462867012077,False,2.20654798717864
2024-04-02,mom_4m,84,weekly,515220,0.003478260869565153,0.003478260869565153,False,2.2142229366992616
2024-04-03,mom_4m,84,weekly,515220,0.02859618717504353,0.02859618717504353,False,2.2775412702443885
2024-04-08,mom_4m,84,weekly,512400,-0.0027548209366390353,-0.0029548209366390354,True,2.270811543615011
2024-04-09,mom_4m,84,weekly,512400,0.0036832412523020164,0.0036832412523020164,False,2.279175490368657
2024-04-10,mom_4m,84,weekly,512400,0.006422018348623659,0.006422018348623659,False,2.293812397187538
2024-04-11,mom_4m,84,weekly,512400,-0.0027347310847766204,-0.0027347310847766204,False,2.287539437122303
2024-04-12,mom_4m,84,weekly,512400,0.010054844606946833,0.010054844606946833,False,2.3105402906948305
2024-04-15,mom_4m,84,weekly,512400,-0.0009049773755654966,-0.0009049773755654966,False,2.308449304006419
2024-04-16,mom_4m,84,weekly,512400,-0.044384057971014634,-0.044384057971014634,False,2.20599095627425
2024-04-17,mom_4m,84,weekly,512400,0.021800947867298692,0.021800947867298692,False,2.254083650107717
2024-04-18,mom_4m,84,weekly,512400,0.013914656771799594,0.013914656771799594,False,2.285448450433891
2024-04-19,mom_4m,84,weekly,512400,-0.006404391582799485,-0.006404391582799485,False,2.2708115436150105
2024-04-22,mom_4m,84,weekly,512400,-0.02302025782688777,-0.02302025782688777,False,2.2185368764047197
2024-04-23,mom_4m,84,weekly,512400,-0.04618284637134773,-0.04618284637134773,False,2.116078528672551
2024-04-24,mom_4m,84,weekly,512400,0.009881422924901129,0.009881422924901129,False,2.136988395556667
2024-04-25,mom_4m,84,weekly,512400,0.009784735812133016,0.009784735812133016,False,2.157898262440783
2024-04-26,mom_4m,84,weekly,512400,0.027131782945736482,0.027131782945736482,False,2.2164458897163084
2024-04-29,mom_4m,84,weekly,512400,-0.005660377358490565,-0.005660377358490565,False,2.2038999695858386
2024-04-30,mom_4m,84,weekly,512400,-0.009487666034155628,-0.009487666034155628,False,2.1829901027017224
2024-05-06,mom_4m,84,weekly,512400,0.00766283524904221,0.00766283524904221,False,2.1997179962090154
2024-05-07,mom_4m,84,weekly,512400,0.0076045627376426506,0.0076045627376426506,False,2.2164458897163084
2024-05-08,mom_4m,84,weekly,512400,-0.007547169811320753,-0.007547169811320753,False,2.1997179962090154
2024-05-09,mom_4m,84,weekly,512400,0.024714828897338448,0.024714828897338448,False,2.2540836501077175
2024-05-10,mom_4m,84,weekly,512400,0.007421150278293043,0.007421150278293043,False,2.27081154361501
2024-05-13,mom_4m,84,weekly,512400,-0.012891344383057057,-0.012891344383057057,False,2.2415377299772477
2024-05-14,mom_4m,84,weekly,512400,0.006529850746268551,0.006529850746268551,False,2.256174636796129
2024-05-15,mom_4m,84,weekly,512400,-0.011121408711770142,-0.011121408711770142,False,2.2310827965351896
2024-05-16,mom_4m,84,weekly,512400,-0.005623242736644829,-0.005623242736644829,False,2.2185368764047197
2024-05-17,mom_4m,84,weekly,512400,0.01413760603204528,0.01413760603204528,False,2.249901676730894
2024-05-20,mom_4m,84,weekly,512800,-0.0047244094488189115,-0.004924409448818911,True,2.2388222396550868
2024-05-21,mom_4m,84,weekly,512800,0.006329113924050667,0.006329113924050667,False,2.252992000665562
2024-05-22,mom_4m,84,weekly,512800,0.004716981132075526,0.004716981132075526,False,2.263619321423419
2024-05-23,mom_4m,84,weekly,512800,-0.006259780907668211,-0.006259780907668211,False,2.2494495604129434
2024-05-24,mom_4m,84,weekly,512800,-0.009448818897637823,-0.009448818897637823,False,2.2281949188972305
2024-05-27,mom_4m,84,weekly,512800,0.014308426073131875,0.014308426073131875,False,2.2600768811707996
2024-05-28,mom_4m,84,weekly,512800,-0.00470219435736674,-0.00470219435736674,False,2.2494495604129434
2024-05-29,mom_4m,84,weekly,512800,-0.009448818897637823,-0.009448818897637823,False,2.2281949188972305
2024-05-30,mom_4m,84,weekly,512800,-0.006359300476947549,-0.006359300476947549,False,2.214025157886755
2024-05-31,mom_4m,84,weekly,512800,0.0032000000000000917,0.0032000000000000917,False,2.221110038391993
2024-06-03,mom_4m,84,weekly,512400,-0.020192307692307843,-0.02039230769230784,True,2.17581647907063
2024-06-04,mom_4m,84,weekly,512400,0.011776251226692791,0.011776251226692791,False,2.201439440551344
2024-06-05,mom_4m,84,weekly,512400,-0.023278370514064006,-0.023278370514064006,False,2.150193517589916
2024-06-06,mom_4m,84,weekly,512400,0.009930486593843213,0.009930486593843213,False,2.1715459854905115
2024-06-07,mom_4m,84,weekly,512400,0.001966568338249708,0.001966568338249708,False,2.1758164790706305
2024-06-11,mom_4m,84,weekly,512400,-0.02257114818449446,-0.02257114818449446,False,2.1267058028992625
2024-06-12,mom_4m,84,weekly,512400,0.009036144578313143,0.009036144578313143,False,2.145923024009798
2024-06-13,mom_4m,84,weekly,512400,-0.016915422885572018,-0.016915422885572018,False,2.1096238285787865
2024-06-14,mom_4m,84,weekly,512400,0.0030364372469635637,0.0030364372469635637,False,2.116029568948965
2024-06-17,mom_4m,84,weekly,512400,-0.013118062563067578,-0.013118062563067578,False,2.0882713606781915
2024-06-18,mom_4m,84,weekly,512400,0.007157464212679043,0.007157464212679043,False,2.1032180882086084
2024-06-19,mom_4m,84,weekly,512400,0.004060913705583813,0.004060913705583813,False,2.1117590753688464
2024-06-20,mom_4m,84,weekly,512400,-0.00707785642062686,-0.00707785642062686,False,2.09681234783843
2024-06-21,mom_4m,84,weekly,512400,-0.005091649694501044,-0.005091649694501044,False,2.0861361138881325
2024-06-24,mom_4m,84,weekly,512400,-0.022517911975435068,-0.022517911975435068,False,2.0391606845068235
2024-06-25,mom_4m,84,weekly,512400,0.0010471204188482464,0.0010471204188482464,False,2.041295931296883
2024-06-26,mom_4m,84,weekly,512400,0.010460251046025215,0.010460251046025215,False,2.0626483991974784
