regime,description,start,end,strategy,benchmark_total_return,benchmark_max_drawdown,days,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,calmar,positive_day_ratio,excess_total_return,drawdown_improvement
2019 基准上涨年,510300全年收益 47.32%,2019-01-02,2019-12-31,Top3,0.47323252962811724,-0.15475189234650932,244,0.4254208340219978,0.44208353063891503,0.27687862871612595,-0.18202719193918704,1.4613115931494813,2.428667529995241,0.5286885245901639,-0.04781169560611942,-0.027275299592677715
2020 基准上涨年,510300全年收益 33.04%,2020-01-02,2020-12-31,Top1,0.330374479889044,-0.18216114254917803,243,3.69288870790703,3.9694509988920963,0.5346817267268087,-0.3513071895424831,3.2772572378455282,11.299088424753334,0.6049382716049383,3.362514228017986,-0.16914604699330504
2020 基准上涨年,510300全年收益 33.04%,2020-01-02,2020-12-31,Top2,0.330374479889044,-0.18216114254917803,243,2.023846664399515,2.150346145239845,0.4035747183214815,-0.2634912495433225,3.0532135536499783,8.160977447891646,0.6460905349794238,1.6934721845104712,-0.08133010699414445
2020 基准上涨年,510300全年收益 33.04%,2020-01-02,2020-12-31,Top3,0.330374479889044,-0.18216114254917803,243,1.1161635379528279,1.1757380450107564,0.39034282942353365,-0.23845479209841358,2.1938058592620453,4.930653876419112,0.6172839506172839,0.7857890580637839,-0.05629364954923555
2021 基准震荡年,510300全年收益 -4.32%,2021-01-04,2021-12-31,Top1,-0.04316096747289333,-0.1852264291017075,243,0.04104134607796284,0.04259332589278175,0.5181494642456466,-0.3657794057714042,0.3408986926994842,0.11644539091246892,0.5308641975308642,0.08420231355085617,-0.18055297666969672
2021 基准震荡年,510300全年收益 -4.32%,2021-01-04,2021-12-31,Top2,-0.04316096747289333,-0.1852264291017075,243,0.15726160146394252,0.16353877208048306,0.3699455505534768,-0.26809552131174264,0.5945426685997008,0.610001880226561,0.5061728395061729,0.20042256893683585,-0.08286909221003513
2021 基准震荡年,510300全年收益 -4.32%,2021-01-04,2021-12-31,Top3,-0.04316096747289333,-0.1852264291017075,243,0.057054868472411924,0.05922941310545626,0.32955350861639704,-0.2599117511636645,0.33900753269020073,0.2278827826763398,0.5102880658436214,0.10021583594530525,-0.074685322061957
2022 基准下跌年,510300全年收益 -21.68%,2022-01-04,2022-12-30,Top1,-0.2168228372194373,-0.29534018814263807,242,-0.2669307891842071,-0.2762768615717701,0.3951288345234212,-0.32342116122949327,-0.6189774783686689,-0.8542324828761885,0.49173553719008267,-0.050107951964769804,-0.0280809730868552
2022 基准下跌年,510300全年收益 -21.68%,2022-01-04,2022-12-30,Top2,-0.2168228372194373,-0.29534018814263807,242,-0.2300033481569821,-0.2382748538431264,0.34565449142985705,-0.329306145544236,-0.6132961862890095,-0.7235663745337505,0.4793388429752066,-0.013180510937544798,-0.03396595740159791
2022 基准下跌年,510300全年收益 -21.68%,2022-01-04,2022-12-30,Top3,-0.2168228372194373,-0.29534018814263807,242,-0.19549171772253637,-0.20269071456021315,0.3270907677322744,-0.30032957799163484,-0.5280911340166596,-0.6748942808618695,0.4793388429752066,0.02133111949690092,-0.0049893898489967725
2023 基准震荡年,510300全年收益 -10.43%,2023-01-03,2023-12-29,Top1,-0.10434056761268795,-0.21299363057324894,242,0.2591671537720657,0.2712151598990451,0.35226289228003793,-0.30691829032783935,0.856560314176737,0.8836721969529499,0.4669421487603306,0.3635077213847536,-0.09392465975459041
2023 基准震荡年,510300全年收益 -10.43%,2023-01-03,2023-12-29,Top2,-0.10434056761268795,-0.21299363057324894,242,0.10988959650225216,0.11468163485714333,0.2693857179984962,-0.23927167228223967,0.5372842762942563,0.4792946601796947,0.4793388429752066,0.2142301641149401,-0.02627804170899073
2023 基准震荡年,510300全年收益 -10.43%,2023-01-03,2023-12-29,Top3,-0.10434056761268795,-0.21299363057324894,242,-0.006485495047465761,-0.006752583875979212,0.22490874422669055,-0.252333034977517,0.08240788946921174,-0.026760601823621194,0.47107438016528924,0.09785507256522219,-0.039339404404268086
2024 基准上涨年,510300全年收益 18.39%,2024-01-02,2024-12-31,Top1,0.18390804597701127,-0.13129858911603742,242,0.2715012931779579,0.2841844832143936,0.3689283036132225,-0.2216387575628106,0.8599944232005452,1.2821966985348132,0.47107438016528924,0.08759324720094663,-0.09034016844677317
2024 基准上涨年,510300全年收益 18.39%,2024-01-02,2024-12-31,Top2,0.18390804597701127,-0.13129858911603742,242,0.20450715580458323,0.21380414210040843,0.32465859091732086,-0.20081116135701937,0.7568648511653336,1.0647024829475937,0.49173553719008267,0.02059910982757196,-0.06951257224098195
2024 基准上涨年,510300全年收益 18.39%,2024-01-02,2024-12-31,Top3,0.18390804597701127,-0.13129858911603742,242,0.14669006004483975,0.15319432404886224,0.30944779541608497,-0.1957860406348827,0.6126492495842368,0.7824578481289743,0.4793388429752066,-0.037217985932171516,-0.06448745151884527
2025 基准上涨年,510300全年收益 21.49%,2025-01-02,2025-12-31,Top1,0.21490422461296155,-0.10620831195484881,243,0.45847158821348866,0.47900032204772214,0.3152943228803931,-0.18321836852754314,1.4012819623332402,2.6143684495024537,0.5308641975308642,0.2435673636005271,-0.07701005657269433
2025 基准上涨年,510300全年收益 21.49%,2025-01-02,2025-12-31,Top2,0.21490422461296155,-0.10620831195484881,243,0.2978027105554977,0.3103930795866334,0.27098618161669863,-0.20494208291312965,1.135231296457125,1.5145404749214053,0.5267489711934157,0.08289848594253613,-0.09873377095828084
2025 基准上涨年,510300全年收益 21.49%,2025-01-02,2025-12-31,Top3,0.21490422461296155,-0.10620831195484881,243,0.19380387862411963,0.20166207650057344,0.2508792130785668,-0.19558099791107675,0.8595822649559086,1.0310923793949631,0.5308641975308642,-0.021100345988841918,-0.08937268595622794
2026 基准震荡年,510300全年收益 7.65%,2026-01-05,2026-06-18,Top1,0.07645788336932946,-0.07631359466221876,109,0.07421100136591896,0.17998602474182301,0.42829242759420266,-0.315953148403718,0.6009020610835178,0.5696604881171838,0.48623853211009177,-0.0022468820034104997,-0.23963955374149926
2026 基准震荡年,510300全年收益 7.65%,2026-01-05,2026-06-18,Top2,0.07645788336932946,-0.07631359466221876,109,0.08514956835672272,0.20795110401017047,0.34818551513373314,-0.23816492941852374,0.7181189013198963,0.8731390659316639,0.5688073394495413,0.008691684987393256,-0.16185133475630498
2026 基准震荡年,510300全年收益 7.65%,2026-01-05,2026-06-18,Top3,0.07645788336932946,-0.07631359466221876,109,0.049824252154005766,0.11897409452940932,0.3033904475292425,-0.23441733020377564,0.5234367124177085,0.5075311387003121,0.5779816513761468,-0.026633631215323694,-0.15810373554155688
