label,start,end,days,start_close,end_close,segment_return,mean_daily_ret,ann_vol
bull,2024-09-26,2024-09-26,1,3545.32,3545.32,0.0,4.140221153510405,0.0
bear,2024-09-27,2024-10-18,11,3703.685,3925.234,0.05981853208358712,0.9254322127130705,67.13846310312091
bull,2024-10-21,2024-10-29,7,3935.197,3924.649,-0.0026804248935949904,-0.0021292401103580405,10.958142862059791
sideways,2024-10-30,2024-11-04,4,3889.449,3944.762,0.014221294584400024,0.1277925615729291,13.045981241982185
bull,2024-11-05,2024-11-05,1,4044.573,4044.573,0.0,2.498735956871988,0.0
sideways,2024-11-06,2024-11-06,1,4024.283,4024.283,0.0,-0.5029224159259079,0.0
bull,2024-11-07,2024-11-11,3,4145.695,4131.131,-0.0035130418422000265,0.8734820335165039,25.920031555302224
sideways,2024-11-12,2025-04-03,96,4085.743,3861.503,-0.054883530363999844,-0.0703070139945775,15.195726446429324
bear,2025-04-07,2025-04-09,3,3589.441,3686.794,0.02712205048084093,-1.543308007285991,64.85026835562631
bull,2025-04-10,2025-04-17,6,3735.115,3772.222,0.00993463387338811,0.3817828674975557,6.92269942639007
sideways,2025-04-18,2026-07-06,294,3772.523,4841.998,0.2834906506865562,0.08491946520578239,15.347298190777705
