signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,reason
2024-12-31,2,512480|512800,半导体ETF国联安|银行ETF华宝,sector,半导体|银行,2,0.5,0.06998940|0.06752874,选择正动量行业/主题 ETF Top2，等权持有
2025-01-27,2,512800,银行ETF华宝,sector,银行,1,1.0,0.07890961,选择正动量行业/主题 ETF Top2，等权持有
2025-02-28,2,515030|515230,新能源车ETF华夏|软件ETF国泰,sector,新能源车|软件,2,0.5,0.08850289|0.08312958,选择正动量行业/主题 ETF Top2，等权持有
2025-03-31,2,515230|512980,软件ETF国泰|传媒ETF广发,sector,软件|传媒,2,0.5,0.11273210|0.08533333,选择正动量行业/主题 ETF Top2，等权持有
2025-04-30,2,512400|159928,有色金属ETF南方|消费ETF汇添富,sector,有色金属|消费,2,0.5,0.03248731|0.02509410,选择正动量行业/主题 ETF Top2，等权持有
2025-05-30,2,512800|512010,银行ETF华宝|医药ETF易方达,sector,银行|医药,2,0.5,0.06036745|0.01912568,选择正动量行业/主题 ETF Top2，等权持有
2025-06-30,2,512660|512800,军工ETF国泰|银行ETF华宝,sector,军工|银行,2,0.5,0.14929860|0.10737387,选择正动量行业/主题 ETF Top2，等权持有
2025-07-31,2,512400|512880,有色金属ETF南方|证券ETF国泰,sector,有色金属|证券,2,0.5,0.16506718|0.13878327,选择正动量行业/主题 ETF Top2，等权持有
2025-08-29,2,512480|512400,半导体ETF国联安|有色金属ETF南方,sector,半导体|有色金属,2,0.5,0.34897361|0.28024369,选择正动量行业/主题 ETF Top2，等权持有
2025-09-30,2,512480|515030,半导体ETF国联安|新能源车ETF华夏,sector,半导体|新能源车,2,0.5,0.47981221|0.47327653,选择正动量行业/主题 ETF Top2，等权持有
2025-10-31,2,515030|512400,新能源车ETF华夏|有色金属ETF南方,sector,新能源车|有色金属,2,0.5,0.32170272|0.23512748,选择正动量行业/主题 ETF Top2，等权持有
2025-11-28,2,512400|515790,有色金属ETF南方|光伏ETF华泰柏瑞,sector,有色金属|光伏,2,0.5,0.14902225|0.08248588,选择正动量行业/主题 ETF Top2，等权持有
2025-12-31,2,512660|512400,军工ETF国泰|有色金属ETF南方,sector,军工|有色金属,2,0.5,0.13283828|0.12100058,选择正动量行业/主题 ETF Top2，等权持有
2026-01-30,2,512400|512660,有色金属ETF南方|军工ETF国泰,sector,有色金属|军工,2,0.5,0.33200456|0.22128378,选择正动量行业/主题 ETF Top2，等权持有
2026-02-27,2,512400|512660,有色金属ETF南方|军工ETF国泰,sector,有色金属|军工,2,0.5,0.33370227|0.23505976,选择正动量行业/主题 ETF Top2，等权持有
2026-03-31,2,515220|512800,煤炭ETF国泰|银行ETF华宝,sector,煤炭|银行,2,0.5,0.12029385|0.03483871,选择正动量行业/主题 ETF Top2，等权持有
2026-04-30,2,515030|512480,新能源车ETF华夏|半导体ETF国联安,sector,新能源车|半导体,2,0.5,0.13464609|0.09788520,选择正动量行业/主题 ETF Top2，等权持有
2026-05-29,2,512480|515030,半导体ETF国联安|新能源车ETF华夏,sector,半导体|新能源车,2,0.5,0.48657949|0.05129590,选择正动量行业/主题 ETF Top2，等权持有
2026-06-18,2,512480,半导体ETF国联安,sector,半导体,1,1.0,0.53148148,选择正动量行业/主题 ETF Top2，等权持有
